work_date,site_id,site_name,process,worker_id,planned_hours,actual_hours,progress_pct,defect_count,efficiency,is_delayed,kpi_flag,source_file
2024-01-01,SITE-A,現場A,基礎,WRK-001,7.5,5.5,47,5,0.7333333333333333,1,問題あり,style_a.csv
2024-01-02,SITE-A,現場A,基礎,WRK-001,7.2,4.2,41,1,0.5833333333333334,1,正常,style_a.csv
2024-01-03,SITE-B,現場B,基礎,WRK-001,7.1,8.3,99,3,1.1690140845070425,0,問題あり,style_a.csv
2024-01-04,SITE-B,現場B,設備,WRK-001,7.2,8.9,30,1,1.2361111111111112,1,問題あり,style_a.csv
2024-01-05,SITE-D,現場D,内装,WRK-001,6.6,5.3,73,0,0.8030303030303031,0,正常,style_a.csv
2024-01-06,SITE-A,現場A,設備,WRK-001,6.2,9.1,63,0,1.4677419354838708,1,問題あり,style_a.csv
2024-01-07,SITE-D,現場D,基礎,WRK-001,7.9,6.3,100,2,0.7974683544303797,0,正常,style_a.csv
2024-01-08,SITE-E,現場E,内装,WRK-001,7.2,8.2,35,5,1.1388888888888888,1,問題あり,style_a.csv
2024-01-09,SITE-B,現場B,内装,WRK-001,8.0,9.1,42,3,1.1375,1,問題あり,style_a.csv
2024-01-10,SITE-C,現場C,設備,WRK-001,7.3,6.2,77,2,0.8493150684931507,0,正常,style_a.csv
2024-01-11,SITE-B,現場B,内装,WRK-001,7.4,8.1,39,4,1.0945945945945945,1,問題あり,style_a.csv
2024-01-12,SITE-B,現場B,躯体,WRK-001,6.3,6.3,58,5,1.0,1,問題あり,style_a.csv
2024-01-13,SITE-C,現場C,基礎,WRK-001,6.5,4.2,70,3,0.6461538461538462,0,問題あり,style_a.csv
2024-01-14,SITE-C,現場C,基礎,WRK-001,6.4,9.7,70,1,1.5156249999999998,0,問題あり,style_a.csv
2024-01-15,SITE-D,現場D,設備,WRK-001,7.8,7.9,48,2,1.012820512820513,1,正常,style_a.csv
2024-01-16,SITE-B,現場B,躯体,WRK-001,7.5,7.2,84,4,0.9600000000000001,0,問題あり,style_a.csv
2024-01-17,SITE-D,現場D,内装,WRK-001,6.4,10.0,95,3,1.5625,0,問題あり,style_a.csv
2024-01-18,SITE-A,現場A,基礎,WRK-001,7.7,4.9,50,5,0.6363636363636364,1,問題あり,style_a.csv
2024-01-19,SITE-D,現場D,基礎,WRK-001,6.8,7.6,89,4,1.1176470588235294,0,問題あり,style_a.csv
2024-01-20,SITE-C,現場C,基礎,WRK-001,7.4,4.7,98,2,0.6351351351351351,0,正常,style_a.csv
2024-01-01,SITE-C,現場C,基礎,WRK-002,6.6,4.9,30,5,0.7424242424242425,1,問題あり,style_a.csv
2024-01-02,SITE-C,現場C,躯体,WRK-002,7.0,4.6,68,5,0.6571428571428571,1,問題あり,style_a.csv
2024-01-03,SITE-E,現場E,躯体,WRK-002,6.3,8.6,99,4,1.3650793650793651,0,問題あり,style_a.csv
2024-01-04,SITE-A,現場A,内装,WRK-002,7.0,4.7,76,2,0.6714285714285715,0,正常,style_a.csv
2024-01-05,SITE-B,現場B,基礎,WRK-002,6.5,7.4,40,0,1.1384615384615384,1,正常,style_a.csv
2024-01-06,SITE-D,現場D,基礎,WRK-002,8.0,7.2,46,1,0.9,1,正常,style_a.csv
2024-01-07,SITE-D,現場D,躯体,WRK-002,6.5,9.2,84,1,1.4153846153846152,0,問題あり,style_a.csv
2024-01-08,SITE-E,現場E,躯体,WRK-002,7.4,6.4,77,3,0.8648648648648649,0,問題あり,style_a.csv
2024-01-09,SITE-E,現場E,設備,WRK-002,6.2,5.3,73,0,0.8548387096774193,0,正常,style_a.csv
2024-01-10,SITE-E,現場E,躯体,WRK-002,7.2,4.0,37,1,0.5555555555555556,1,正常,style_a.csv
2024-01-11,SITE-A,現場A,基礎,WRK-002,7.7,4.4,60,2,0.5714285714285715,1,正常,style_a.csv
2024-01-12,SITE-D,現場D,躯体,WRK-002,7.1,8.3,90,1,1.1690140845070425,0,正常,style_a.csv
2024-01-13,SITE-D,現場D,設備,WRK-002,6.4,4.6,85,2,0.7187499999999999,0,正常,style_a.csv
2024-01-14,SITE-D,現場D,設備,WRK-002,6.9,8.4,42,0,1.2173913043478262,1,問題あり,style_a.csv
2024-01-15,SITE-D,現場D,内装,WRK-002,7.6,4.7,54,1,0.618421052631579,1,正常,style_a.csv
2024-01-16,SITE-E,現場E,設備,WRK-002,6.3,5.1,89,1,0.8095238095238095,0,正常,style_a.csv
2024-01-17,SITE-A,現場A,設備,WRK-002,7.6,9.1,42,0,1.1973684210526316,1,正常,style_a.csv
2024-01-18,SITE-E,現場E,基礎,WRK-002,7.9,9.6,60,1,1.2151898734177213,1,問題あり,style_a.csv
2024-01-19,SITE-D,現場D,設備,WRK-002,7.0,9.2,37,1,1.3142857142857143,1,問題あり,style_a.csv
2024-01-20,SITE-D,現場D,基礎,WRK-002,8.0,5.6,88,2,0.7,0,正常,style_a.csv
2024-01-01,SITE-D,現場D,設備,WRK-003,6.3,5.8,37,4,0.9206349206349206,1,問題あり,style_a.csv
2024-01-02,SITE-E,現場E,基礎,WRK-003,7.5,4.3,91,4,0.5733333333333334,0,問題あり,style_a.csv
2024-01-03,SITE-E,現場E,躯体,WRK-003,6.1,7.0,53,0,1.1475409836065575,1,正常,style_a.csv
