チェックイン日,予約番号,客室タイプ,人数,宿泊数,室料,ステータス,キャンセル理由
2024/01/08,RES-0001,シングル,1,3,11000,宿泊済み,
2024/01/19,RES-0002,ツイン,1,5,17000,ノーショウ,他のホテルに変更
2024/01/08,RES-0003,シングル,1,1,11000,宿泊済み,
2024/01/08,RES-0004,シングル,2,5,14000,宿泊済み,
2024/01/14,RES-0005,スイート,3,1,50000,宿泊済み,
2024/01/11,RES-0006,ダブル,3,2,24000,宿泊済み,
2024/01/12,RES-0007,シングル,1,4,9000,宿泊済み,
2024/01/18,RES-0008,ダブル,3,1,32000,キャンセル,予定変更
2024/01/20,RES-0009,スイート,1,5,58000,宿泊済み,
2024/01/08,RES-0010,ダブル,2,1,19000,宿泊済み,
2024/01/13,RES-0011,ダブル,1,2,21000,宿泊済み,
2024/01/12,RES-0012,ダブル,4,3,23000,ノーショウ,料金が高い
2024/01/06,RES-0013,ツイン,3,1,34000,キャンセル,天候不良
2024/01/09,RES-0014,ツイン,2,4,27000,宿泊済み,
2024/01/02,RES-0015,ツイン,3,1,22000,宿泊済み,
2024/01/07,RES-0016,ダブル,4,3,20000,宿泊済み,
2024/01/15,RES-0017,ダブル,2,4,30000,宿泊済み,
2024/01/18,RES-0018,ツイン,3,2,22000,宿泊済み,
2024/01/12,RES-0019,ダブル,4,5,30000,宿泊済み,
2024/01/03,RES-0020,ツイン,2,5,30000,宿泊済み,
2024/01/06,RES-0021,シングル,1,2,18000,宿泊済み,
2024/01/20,RES-0022,スイート,1,4,64000,宿泊済み,
2024/01/04,RES-0023,スイート,3,5,40000,宿泊済み,
2024/01/14,RES-0024,ダブル,3,1,27000,宿泊済み,
2024/01/17,RES-0025,ツイン,4,1,23000,宿泊済み,
2024/01/17,RES-0026,ツイン,1,3,35000,キャンセル,天候不良
2024/01/18,RES-0027,ツイン,2,3,20000,宿泊済み,
2024/01/04,RES-0028,シングル,3,4,8000,宿泊済み,
2024/01/08,RES-0029,ダブル,3,2,19000,宿泊済み,
2024/01/18,RES-0030,シングル,1,4,9000,宿泊済み,
2024/01/06,RES-0031,ツイン,2,4,32000,宿泊済み,
2024/01/07,RES-0032,ダブル,4,2,35000,宿泊済み,
2024/01/17,RES-0033,ダブル,4,3,32000,宿泊済み,
2024/01/03,RES-0034,スイート,1,2,54000,キャンセル,料金が高い
2024/01/01,RES-0035,シングル,2,5,11000,ノーショウ,予定変更
2024/01/11,RES-0036,シングル,2,1,8000,キャンセル,予定変更
2024/01/18,RES-0037,ツイン,3,4,21000,宿泊済み,
2024/01/14,RES-0038,ツイン,4,2,30000,宿泊済み,
2024/01/12,RES-0039,ツイン,1,1,28000,宿泊済み,
2024/01/04,RES-0040,スイート,4,4,43000,宿泊済み,
2024/01/04,RES-0041,シングル,4,3,20000,宿泊済み,
2024/01/15,RES-0042,ツイン,2,2,32000,宿泊済み,
2024/01/15,RES-0043,ツイン,4,2,23000,宿泊済み,
2024/01/04,RES-0044,ツイン,1,4,32000,キャンセル,予定変更
2024/01/14,RES-0045,シングル,1,2,10000,宿泊済み,
2024/01/02,RES-0046,スイート,4,2,65000,宿泊済み,
2024/01/09,RES-0047,ツイン,4,1,27000,宿泊済み,
2024/01/16,RES-0048,スイート,3,4,75000,宿泊済み,
2024/01/02,RES-0049,ツイン,2,3,21000,宿泊済み,
2024/01/19,RES-0050,シングル,3,1,8000,宿泊済み,
2024/01/03,RES-0051,スイート,2,1,72000,ノーショウ,体調不良
2024/01/04,RES-0052,シングル,1,2,14000,キャンセル,天候不良
2024/01/14,RES-0053,ツイン,1,5,17000,キャンセル,天候不良
2024/01/11,RES-0054,ダブル,3,2,39000,キャンセル,体調不良
2024/01/10,RES-0055,ダブル,4,2,39000,宿泊済み,
2024/01/15,RES-0056,スイート,3,1,40000,キャンセル,天候不良
2024/01/17,RES-0057,シングル,1,5,11000,宿泊済み,
2024/01/08,RES-0058,ダブル,2,3,20000,宿泊済み,
2024/01/18,RES-0059,ダブル,3,2,32000,宿泊済み,
2024/01/04,RES-0060,ダブル,1,5,27000,宿泊済み,
2024/01/18,RES-0061,ツイン,3,1,18000,宿泊済み,
2024/01/07,RES-0062,ツイン,3,3,34000,宿泊済み,
2024/01/16,RES-0063,ダブル,2,3,34000,キャンセル,料金が高い
2024/01/02,RES-0064,シングル,1,4,12000,宿泊済み,
2024/01/09,RES-0065,シングル,3,2,18000,宿泊済み,
2024/01/18,RES-0066,ツイン,4,5,28000,宿泊済み,
2024/01/05,RES-0067,シングル,1,1,19000,宿泊済み,
2024/01/05,RES-0068,シングル,3,5,16000,キャンセル,他のホテルに変更
2024/01/02,RES-0069,ツイン,1,3,26000,宿泊済み,
2024/01/04,RES-0070,ダブル,2,2,39000,ノーショウ,料金が高い
2024/01/06,RES-0071,スイート,2,2,50000,キャンセル,他のホテルに変更
2024/01/14,RES-0072,シングル,2,3,20000,宿泊済み,
2024/01/13,RES-0073,ツイン,3,2,18000,宿泊済み,
2024/01/15,RES-0074,シングル,4,2,11000,キャンセル,料金が高い
2024/01/07,RES-0075,ダブル,2,2,18000,宿泊済み,
2024/01/09,RES-0076,スイート,3,3,44000,宿泊済み,
2024/01/01,RES-0077,ダブル,4,5,28000,キャンセル,予定変更
2024/01/02,RES-0078,ダブル,2,5,26000,宿泊済み,
2024/01/11,RES-0079,シングル,4,3,19000,宿泊済み,
2024/01/07,RES-0080,スイート,1,4,76000,宿泊済み,
2024/01/17,RES-0081,ダブル,1,4,18000,キャンセル,天候不良
2024/01/11,RES-0082,ツイン,3,4,17000,宿泊済み,
2024/01/10,RES-0083,ダブル,1,3,34000,宿泊済み,
2024/01/18,RES-0084,スイート,3,4,58000,宿泊済み,
2024/01/06,RES-0085,ツイン,2,4,27000,宿泊済み,
2024/01/10,RES-0086,ダブル,4,5,18000,宿泊済み,
2024/01/20,RES-0087,ダブル,2,4,36000,宿泊済み,
2024/01/07,RES-0088,ダブル,4,4,32000,宿泊済み,
2024/01/17,RES-0089,スイート,2,1,58000,キャンセル,天候不良
2024/01/10,RES-0090,ダブル,1,2,39000,宿泊済み,
2024/01/02,RES-0091,ツイン,2,2,15000,宿泊済み,
2024/01/15,RES-0092,ツイン,4,5,17000,宿泊済み,
2024/01/13,RES-0093,スイート,2,4,71000,キャンセル,体調不良
2024/01/08,RES-0094,ツイン,1,1,28000,宿泊済み,
2024/01/08,RES-0095,ツイン,4,1,32000,キャンセル,予定変更
2024/01/18,RES-0096,スイート,2,4,73000,宿泊済み,
2024/01/14,RES-0097,ダブル,4,5,34000,宿泊済み,
2024/01/09,RES-0098,スイート,2,4,68000,宿泊済み,
2024/01/08,RES-0099,ツイン,3,5,30000,宿泊済み,
2024/01/10,RES-0100,ダブル,4,1,40000,宿泊済み,
2024/01/18,RES-0101,ツイン,3,3,25000,宿泊済み,
2024/01/13,RES-0102,シングル,2,2,11000,宿泊済み,
2024/01/14,RES-0103,ツイン,2,1,28000,宿泊済み,
2024/01/07,RES-0104,ダブル,4,4,19000,宿泊済み,
2024/01/19,RES-0105,スイート,4,5,41000,キャンセル,他のホテルに変更
2024/01/13,RES-0106,スイート,1,3,59000,宿泊済み,
2024/01/09,RES-0107,スイート,2,4,54000,宿泊済み,
2024/01/11,RES-0108,スイート,4,1,64000,キャンセル,他のホテルに変更
2024/01/18,RES-0109,ツイン,4,2,34000,宿泊済み,
2024/01/01,RES-0110,シングル,4,5,17000,宿泊済み,
2024/01/06,RES-0111,シングル,4,2,15000,宿泊済み,
2024/01/07,RES-0112,シングル,3,4,13000,宿泊済み,
2024/01/09,RES-0113,スイート,3,3,64000,キャンセル,他のホテルに変更
2024/01/18,RES-0114,ダブル,1,4,18000,キャンセル,予定変更
2024/01/02,RES-0115,ダブル,2,1,38000,宿泊済み,
2024/01/20,RES-0116,シングル,2,2,8000,キャンセル,体調不良
2024/01/19,RES-0117,ツイン,2,4,18000,キャンセル,体調不良
2024/01/20,RES-0118,スイート,3,3,50000,宿泊済み,
2024/01/19,RES-0119,シングル,2,3,9000,キャンセル,予定変更
2024/01/07,RES-0120,ダブル,4,4,40000,宿泊済み,
2024/01/10,RES-0121,シングル,2,1,19000,キャンセル,天候不良
2024/01/14,RES-0122,シングル,1,3,16000,キャンセル,料金が高い
2024/01/16,RES-0123,シングル,3,1,14000,宿泊済み,
2024/01/15,RES-0124,シングル,4,3,18000,宿泊済み,
2024/01/09,RES-0125,ツイン,4,2,31000,宿泊済み,
2024/01/09,RES-0126,スイート,4,4,77000,宿泊済み,
2024/01/15,RES-0127,ダブル,2,1,26000,キャンセル,体調不良
2024/01/16,RES-0128,スイート,4,3,41000,キャンセル,料金が高い
2024/01/09,RES-0129,ツイン,4,2,26000,宿泊済み,
2024/01/09,RES-0130,ダブル,3,5,40000,宿泊済み,
2024/01/14,RES-0131,シングル,2,1,11000,宿泊済み,
2024/01/15,RES-0132,スイート,2,4,71000,宿泊済み,
2024/01/13,RES-0133,シングル,1,3,11000,宿泊済み,
2024/01/16,RES-0134,ツイン,3,5,26000,宿泊済み,
2024/01/12,RES-0135,ダブル,4,5,28000,キャンセル,他のホテルに変更
2024/01/04,RES-0136,ダブル,3,3,25000,宿泊済み,
2024/01/06,RES-0137,ツイン,3,1,32000,宿泊済み,
2024/01/19,RES-0138,ツイン,2,4,23000,宿泊済み,
2024/01/08,RES-0139,ダブル,1,2,27000,宿泊済み,
2024/01/18,RES-0140,ダブル,2,3,18000,ノーショウ,体調不良
2024/01/10,RES-0141,ダブル,1,1,35000,ノーショウ,体調不良
2024/01/10,RES-0142,スイート,1,1,76000,宿泊済み,
2024/01/06,RES-0143,スイート,4,4,61000,宿泊済み,
2024/01/03,RES-0144,シングル,3,4,9000,宿泊済み,
2024/01/02,RES-0145,スイート,4,1,76000,宿泊済み,
2024/01/03,RES-0146,ツイン,2,5,24000,宿泊済み,
2024/01/20,RES-0147,ツイン,1,5,28000,宿泊済み,
2024/01/10,RES-0148,ツイン,4,4,29000,宿泊済み,
2024/01/02,RES-0149,スイート,3,5,79000,宿泊済み,
2024/01/03,RES-0150,シングル,2,2,12000,宿泊済み,
2024/01/03,RES-0151,ツイン,2,2,32000,キャンセル,体調不良
2024/01/20,RES-0152,シングル,4,4,19000,宿泊済み,
2024/01/10,RES-0153,スイート,3,1,54000,宿泊済み,
2024/01/08,RES-0154,ダブル,4,1,39000,宿泊済み,
2024/01/18,RES-0155,ダブル,2,4,21000,ノーショウ,体調不良
2024/01/02,RES-0156,ツイン,3,2,17000,宿泊済み,
2024/01/10,RES-0157,ツイン,3,5,33000,宿泊済み,
2024/01/13,RES-0158,スイート,1,4,59000,キャンセル,料金が高い
2024/01/02,RES-0159,スイート,4,1,78000,宿泊済み,
2024/01/01,RES-0160,スイート,3,5,56000,宿泊済み,
