入館日,予約ID,部屋種別,泊数,宿泊者数,料金,状態,解約理由
2024/01/10,RES-0321,スイート,1,3,52000,宿泊済み,
2024/01/04,RES-0322,ダブル,3,1,26000,宿泊済み,
2024/01/13,RES-0323,ダブル,4,4,32000,宿泊済み,
2024/01/16,RES-0324,ダブル,4,2,40000,宿泊済み,
2024/01/03,RES-0325,ダブル,1,3,31000,ノーショウ,他のホテルに変更
2024/01/03,RES-0326,ツイン,3,3,18000,宿泊済み,
2024/01/20,RES-0327,ダブル,3,3,32000,宿泊済み,
2024/01/15,RES-0328,スイート,4,2,62000,宿泊済み,
2024/01/09,RES-0329,シングル,5,3,14000,宿泊済み,
2024/01/17,RES-0330,シングル,4,1,13000,宿泊済み,
2024/01/15,RES-0331,ツイン,2,1,34000,宿泊済み,
2024/01/12,RES-0332,シングル,1,2,11000,キャンセル,料金が高い
2024/01/15,RES-0333,スイート,5,1,49000,宿泊済み,
2024/01/19,RES-0334,ダブル,4,3,20000,宿泊済み,
2024/01/09,RES-0335,ツイン,4,3,25000,宿泊済み,
2024/01/16,RES-0336,ツイン,1,1,20000,宿泊済み,
2024/01/15,RES-0337,スイート,3,1,56000,キャンセル,体調不良
2024/01/05,RES-0338,ダブル,2,4,21000,宿泊済み,
2024/01/15,RES-0339,シングル,2,4,19000,宿泊済み,
2024/01/03,RES-0340,シングル,3,3,19000,宿泊済み,
2024/01/06,RES-0341,ダブル,2,3,40000,宿泊済み,
2024/01/05,RES-0342,ダブル,1,2,24000,宿泊済み,
2024/01/18,RES-0343,ツイン,1,4,26000,宿泊済み,
2024/01/20,RES-0344,ダブル,5,4,22000,宿泊済み,
2024/01/16,RES-0345,シングル,3,1,14000,宿泊済み,
2024/01/05,RES-0346,スイート,5,4,44000,宿泊済み,
2024/01/17,RES-0347,ダブル,4,1,32000,宿泊済み,
2024/01/19,RES-0348,ダブル,5,2,38000,宿泊済み,
2024/01/02,RES-0349,ツイン,4,2,31000,宿泊済み,
2024/01/06,RES-0350,シングル,3,2,10000,宿泊済み,
2024/01/10,RES-0351,ダブル,3,2,34000,宿泊済み,
2024/01/18,RES-0352,シングル,2,3,18000,キャンセル,料金が高い
2024/01/03,RES-0353,ツイン,5,3,32000,宿泊済み,
2024/01/20,RES-0354,ツイン,2,2,34000,宿泊済み,
2024/01/02,RES-0355,ダブル,1,1,20000,宿泊済み,
2024/01/20,RES-0356,ダブル,5,2,31000,宿泊済み,
2024/01/10,RES-0357,シングル,5,4,12000,宿泊済み,
2024/01/15,RES-0358,スイート,4,2,59000,宿泊済み,
2024/01/14,RES-0359,シングル,2,1,15000,キャンセル,他のホテルに変更
2024/01/05,RES-0360,スイート,3,2,78000,宿泊済み,
2024/01/05,RES-0361,ダブル,3,3,30000,宿泊済み,
2024/01/15,RES-0362,ダブル,3,1,25000,宿泊済み,
2024/01/05,RES-0363,シングル,4,3,11000,宿泊済み,
2024/01/20,RES-0364,シングル,3,1,14000,宿泊済み,
2024/01/19,RES-0365,スイート,2,2,60000,キャンセル,料金が高い
2024/01/15,RES-0366,ツイン,4,2,31000,宿泊済み,
2024/01/03,RES-0367,スイート,4,3,41000,ノーショウ,他のホテルに変更
2024/01/12,RES-0368,スイート,2,2,77000,キャンセル,予定変更
2024/01/16,RES-0369,シングル,4,3,17000,宿泊済み,
2024/01/05,RES-0370,ダブル,1,1,31000,宿泊済み,
2024/01/02,RES-0371,ダブル,4,3,29000,宿泊済み,
2024/01/07,RES-0372,スイート,5,1,75000,宿泊済み,
2024/01/17,RES-0373,ダブル,1,3,30000,宿泊済み,
2024/01/04,RES-0374,スイート,5,3,79000,宿泊済み,
2024/01/11,RES-0375,ツイン,4,1,26000,宿泊済み,
2024/01/17,RES-0376,ダブル,2,2,37000,宿泊済み,
2024/01/05,RES-0377,スイート,1,1,42000,キャンセル,料金が高い
2024/01/17,RES-0378,スイート,2,4,78000,宿泊済み,
2024/01/06,RES-0379,ツイン,5,3,25000,キャンセル,他のホテルに変更
2024/01/18,RES-0380,ダブル,5,3,34000,宿泊済み,
2024/01/12,RES-0381,スイート,4,3,41000,宿泊済み,
2024/01/10,RES-0382,ダブル,4,1,36000,宿泊済み,
2024/01/19,RES-0383,シングル,3,4,18000,宿泊済み,
2024/01/06,RES-0384,ツイン,5,1,30000,キャンセル,天候不良
2024/01/19,RES-0385,スイート,2,2,42000,宿泊済み,
2024/01/11,RES-0386,シングル,1,2,15000,キャンセル,他のホテルに変更
2024/01/17,RES-0387,ツイン,2,4,28000,宿泊済み,
2024/01/07,RES-0388,スイート,2,1,73000,宿泊済み,
2024/01/11,RES-0389,ダブル,5,4,30000,キャンセル,体調不良
2024/01/09,RES-0390,スイート,5,3,62000,キャンセル,天候不良
2024/01/18,RES-0391,スイート,2,2,57000,ノーショウ,料金が高い
2024/01/16,RES-0392,ツイン,3,3,21000,宿泊済み,
