checkin_date,reserv_no,room_type,guest_count,nights,room_rate,status,cancel_reason,total_revenue,is_cancel,loss_revenue,revenue_per_guest,source_file
2024-01-08,RES-0001,シングル,1,3,11000,宿泊済み,,33000,0,0,33000.0,styleA
2024-01-19,RES-0002,ツイン,1,5,17000,ノーショウ,他のホテルに変更,0,1,85000,0.0,styleA
2024-01-08,RES-0003,シングル,1,1,11000,宿泊済み,,11000,0,0,11000.0,styleA
2024-01-08,RES-0004,シングル,2,5,14000,宿泊済み,,70000,0,0,35000.0,styleA
2024-01-14,RES-0005,スイート,3,1,50000,宿泊済み,,50000,0,0,16666.666666666668,styleA
2024-01-11,RES-0006,ダブル,3,2,24000,宿泊済み,,48000,0,0,16000.0,styleA
2024-01-12,RES-0007,シングル,1,4,9000,宿泊済み,,36000,0,0,36000.0,styleA
2024-01-18,RES-0008,ダブル,3,1,32000,キャンセル,予定変更,0,1,32000,0.0,styleA
2024-01-20,RES-0009,スイート,1,5,58000,宿泊済み,,290000,0,0,290000.0,styleA
2024-01-08,RES-0010,ダブル,2,1,19000,宿泊済み,,19000,0,0,9500.0,styleA
2024-01-13,RES-0011,ダブル,1,2,21000,宿泊済み,,42000,0,0,42000.0,styleA
2024-01-12,RES-0012,ダブル,4,3,23000,ノーショウ,料金が高い,0,1,69000,0.0,styleA
2024-01-06,RES-0013,ツイン,3,1,34000,キャンセル,天候不良,0,1,34000,0.0,styleA
2024-01-09,RES-0014,ツイン,2,4,27000,宿泊済み,,108000,0,0,54000.0,styleA
2024-01-02,RES-0015,ツイン,3,1,22000,宿泊済み,,22000,0,0,7333.333333333333,styleA
2024-01-07,RES-0016,ダブル,4,3,20000,宿泊済み,,60000,0,0,15000.0,styleA
2024-01-15,RES-0017,ダブル,2,4,30000,宿泊済み,,120000,0,0,60000.0,styleA
2024-01-18,RES-0018,ツイン,3,2,22000,宿泊済み,,44000,0,0,14666.666666666666,styleA
2024-01-12,RES-0019,ダブル,4,5,30000,宿泊済み,,150000,0,0,37500.0,styleA
2024-01-03,RES-0020,ツイン,2,5,30000,宿泊済み,,150000,0,0,75000.0,styleA
2024-01-06,RES-0021,シングル,1,2,18000,宿泊済み,,36000,0,0,36000.0,styleA
2024-01-20,RES-0022,スイート,1,4,64000,宿泊済み,,256000,0,0,256000.0,styleA
2024-01-04,RES-0023,スイート,3,5,40000,宿泊済み,,200000,0,0,66666.66666666667,styleA
2024-01-14,RES-0024,ダブル,3,1,27000,宿泊済み,,27000,0,0,9000.0,styleA
2024-01-17,RES-0025,ツイン,4,1,23000,宿泊済み,,23000,0,0,5750.0,styleA
2024-01-17,RES-0026,ツイン,1,3,35000,キャンセル,天候不良,0,1,105000,0.0,styleA
2024-01-18,RES-0027,ツイン,2,3,20000,宿泊済み,,60000,0,0,30000.0,styleA
2024-01-04,RES-0028,シングル,3,4,8000,宿泊済み,,32000,0,0,10666.666666666666,styleA
2024-01-08,RES-0029,ダブル,3,2,19000,宿泊済み,,38000,0,0,12666.666666666666,styleA
2024-01-18,RES-0030,シングル,1,4,9000,宿泊済み,,36000,0,0,36000.0,styleA
2024-01-06,RES-0031,ツイン,2,4,32000,宿泊済み,,128000,0,0,64000.0,styleA
2024-01-07,RES-0032,ダブル,4,2,35000,宿泊済み,,70000,0,0,17500.0,styleA
2024-01-17,RES-0033,ダブル,4,3,32000,宿泊済み,,96000,0,0,24000.0,styleA
2024-01-03,RES-0034,スイート,1,2,54000,キャンセル,料金が高い,0,1,108000,0.0,styleA
2024-01-01,RES-0035,シングル,2,5,11000,ノーショウ,予定変更,0,1,55000,0.0,styleA
2024-01-11,RES-0036,シングル,2,1,8000,キャンセル,予定変更,0,1,8000,0.0,styleA
2024-01-18,RES-0037,ツイン,3,4,21000,宿泊済み,,84000,0,0,28000.0,styleA
2024-01-14,RES-0038,ツイン,4,2,30000,宿泊済み,,60000,0,0,15000.0,styleA
2024-01-12,RES-0039,ツイン,1,1,28000,宿泊済み,,28000,0,0,28000.0,styleA
2024-01-04,RES-0040,スイート,4,4,43000,宿泊済み,,172000,0,0,43000.0,styleA
2024-01-04,RES-0041,シングル,4,3,20000,宿泊済み,,60000,0,0,15000.0,styleA
2024-01-15,RES-0042,ツイン,2,2,32000,宿泊済み,,64000,0,0,32000.0,styleA
2024-01-15,RES-0043,ツイン,4,2,23000,宿泊済み,,46000,0,0,11500.0,styleA
2024-01-04,RES-0044,ツイン,1,4,32000,キャンセル,予定変更,0,1,128000,0.0,styleA
2024-01-14,RES-0045,シングル,1,2,10000,宿泊済み,,20000,0,0,20000.0,styleA
2024-01-02,RES-0046,スイート,4,2,65000,宿泊済み,,130000,0,0,32500.0,styleA
2024-01-09,RES-0047,ツイン,4,1,27000,宿泊済み,,27000,0,0,6750.0,styleA
2024-01-16,RES-0048,スイート,3,4,75000,宿泊済み,,300000,0,0,100000.0,styleA
2024-01-02,RES-0049,ツイン,2,3,21000,宿泊済み,,63000,0,0,31500.0,styleA
2024-01-19,RES-0050,シングル,3,1,8000,宿泊済み,,8000,0,0,2666.6666666666665,styleA
2024-01-03,RES-0051,スイート,2,1,72000,ノーショウ,体調不良,0,1,72000,0.0,styleA
2024-01-04,RES-0052,シングル,1,2,14000,キャンセル,天候不良,0,1,28000,0.0,styleA
2024-01-14,RES-0053,ツイン,1,5,17000,キャンセル,天候不良,0,1,85000,0.0,styleA
2024-01-11,RES-0054,ダブル,3,2,39000,キャンセル,体調不良,0,1,78000,0.0,styleA
2024-01-10,RES-0055,ダブル,4,2,39000,宿泊済み,,78000,0,0,19500.0,styleA
2024-01-15,RES-0056,スイート,3,1,40000,キャンセル,天候不良,0,1,40000,0.0,styleA
2024-01-17,RES-0057,シングル,1,5,11000,宿泊済み,,55000,0,0,55000.0,styleA
2024-01-08,RES-0058,ダブル,2,3,20000,宿泊済み,,60000,0,0,30000.0,styleA
2024-01-18,RES-0059,ダブル,3,2,32000,宿泊済み,,64000,0,0,21333.333333333332,styleA
2024-01-04,RES-0060,ダブル,1,5,27000,宿泊済み,,135000,0,0,135000.0,styleA
2024-01-18,RES-0061,ツイン,3,1,18000,宿泊済み,,18000,0,0,6000.0,styleA
2024-01-07,RES-0062,ツイン,3,3,34000,宿泊済み,,102000,0,0,34000.0,styleA
2024-01-16,RES-0063,ダブル,2,3,34000,キャンセル,料金が高い,0,1,102000,0.0,styleA
2024-01-02,RES-0064,シングル,1,4,12000,宿泊済み,,48000,0,0,48000.0,styleA
2024-01-09,RES-0065,シングル,3,2,18000,宿泊済み,,36000,0,0,12000.0,styleA
2024-01-18,RES-0066,ツイン,4,5,28000,宿泊済み,,140000,0,0,35000.0,styleA
2024-01-05,RES-0067,シングル,1,1,19000,宿泊済み,,19000,0,0,19000.0,styleA
2024-01-05,RES-0068,シングル,3,5,16000,キャンセル,他のホテルに変更,0,1,80000,0.0,styleA
