ContractDate,ContractID,Plan,Industry,MonthlyFee,UsageMonths,LoginCount,SupportCount,Status,ChurnReason
2023-02-22,CON-0001,Enterprise,Retail,30000,1,48,4,Churned,Lack of features
2023-04-22,CON-0002,Enterprise,Service,30000,3,38,6,Churned,Too expensive
2023-08-03,CON-0003,Starter,Service,3000,20,2,8,Churned,Hard to use
2023-03-23,CON-0004,Starter,IT,3000,19,18,0,Active,
2023-02-22,CON-0005,Enterprise,IT,30000,11,18,2,Churned,Switched to competitor
2023-01-23,CON-0006,Starter,IT,3000,4,23,5,Active,
2023-11-18,CON-0007,Enterprise,IT,30000,18,8,6,Churned,Switched to competitor
2023-05-29,CON-0008,Enterprise,Healthcare,30000,19,13,1,Churned,Lack of features
2023-07-06,CON-0009,Starter,Manufacturing,3000,4,25,4,Active,
2023-12-16,CON-0010,Starter,Healthcare,3000,12,14,10,Active,
2023-05-06,CON-0011,Enterprise,Retail,30000,20,41,2,Active,
2023-04-23,CON-0012,Starter,IT,3000,13,18,10,Active,
2023-07-25,CON-0013,Enterprise,Healthcare,30000,2,15,0,Active,
2023-06-11,CON-0014,Standard,Retail,8000,7,59,9,Active,
2023-05-16,CON-0015,Starter,IT,3000,13,57,10,Active,
2023-10-27,CON-0016,Starter,Manufacturing,3000,24,36,8,Active,
2023-03-12,CON-0017,Standard,Service,8000,13,24,3,Active,
2023-03-20,CON-0018,Enterprise,IT,30000,3,49,0,Active,
2023-11-02,CON-0019,Enterprise,Manufacturing,30000,22,28,9,Churned,Business closed
2023-02-28,CON-0020,Standard,Service,8000,9,36,0,Active,
2023-05-31,CON-0021,Enterprise,Service,30000,9,50,10,Active,
2023-04-02,CON-0022,Standard,Manufacturing,8000,15,1,4,Active,
2023-04-12,CON-0023,Enterprise,Retail,30000,21,20,10,Active,
2023-11-03,CON-0024,Starter,Healthcare,3000,6,35,8,Active,
2023-06-07,CON-0025,Standard,IT,8000,1,8,5,Active,
2023-02-13,CON-0026,Starter,Retail,3000,8,57,9,Active,
2023-03-07,CON-0027,Enterprise,IT,30000,3,49,8,Active,
2023-11-07,CON-0028,Enterprise,IT,30000,18,11,4,Active,
2023-07-24,CON-0029,Standard,Manufacturing,8000,18,49,3,Active,
2023-05-07,CON-0030,Enterprise,Healthcare,30000,15,58,8,Active,
2023-10-29,CON-0031,Starter,Retail,3000,11,2,9,Active,
2023-01-17,CON-0032,Starter,Retail,3000,3,46,10,Churned,Too expensive
2023-04-20,CON-0033,Standard,Retail,8000,17,16,4,Active,
2023-05-05,CON-0034,Enterprise,Manufacturing,30000,24,60,9,Active,
2023-07-01,CON-0035,Standard,IT,8000,7,7,1,Active,
2023-11-27,CON-0036,Standard,IT,8000,15,56,0,Active,
2023-02-25,CON-0037,Starter,Retail,3000,13,47,5,Active,
2023-05-23,CON-0038,Starter,Manufacturing,3000,7,35,7,Churned,Lack of features
2023-01-08,CON-0039,Standard,Manufacturing,8000,3,29,8,Churned,Hard to use
2023-07-25,CON-0040,Starter,Manufacturing,3000,6,27,7,Active,
2023-08-21,CON-0041,Starter,Manufacturing,3000,13,1,6,Active,
2023-09-07,CON-0042,Standard,IT,8000,23,47,8,Active,
2023-10-05,CON-0043,Starter,Manufacturing,3000,10,14,0,Active,
2023-09-29,CON-0044,Starter,Healthcare,3000,2,4,9,Active,
2023-12-12,CON-0045,Starter,Retail,3000,17,6,2,Churned,Too expensive
2023-01-21,CON-0046,Starter,IT,3000,4,57,9,Churned,Hard to use
2023-06-11,CON-0047,Enterprise,Retail,30000,14,43,9,Active,
2023-03-09,CON-0048,Standard,Manufacturing,8000,22,46,5,Churned,Business closed
2023-10-16,CON-0049,Enterprise,Healthcare,30000,15,21,1,Churned,Hard to use
2023-06-28,CON-0050,Starter,Retail,3000,18,14,8,Active,
2023-10-06,CON-0051,Starter,Manufacturing,3000,12,19,2,Active,
2023-12-08,CON-0052,Enterprise,Healthcare,30000,20,52,10,Active,
2023-02-24,CON-0053,Enterprise,Healthcare,30000,22,7,2,Active,
2023-06-25,CON-0054,Enterprise,Service,30000,5,18,4,Active,
2023-01-27,CON-0055,Starter,Healthcare,3000,17,32,4,Active,
