contract_date,contract_id,plan,industry,monthly_fee,usage_months,login_count,support_count,status,churn_reason,ltv,is_churned,churn_risk,arpu_grade,source_file
2023-02-22,CON-0001,エンタープライズプラン,小売,30000,1,48,4,解約,機能不足,30000,1,低リスク,高ARPU,contracts_styleA.csv
2023-04-22,CON-0002,エンタープライズプラン,サービス,30000,3,38,6,解約,価格が高い,90000,1,低リスク,高ARPU,contracts_styleA.csv
2023-08-03,CON-0003,スタータープラン,サービス,3000,20,2,8,解約,使いにくい,60000,1,中リスク,低ARPU,contracts_styleA.csv
2023-03-23,CON-0004,スタータープラン,IT,3000,19,18,0,継続,,57000,0,低リスク,低ARPU,contracts_styleA.csv
2023-02-22,CON-0005,エンタープライズプラン,IT,30000,11,18,2,解約,競合他社に移行,330000,1,低リスク,高ARPU,contracts_styleA.csv
2023-01-23,CON-0006,スタータープラン,IT,3000,4,23,5,継続,,12000,0,低リスク,低ARPU,contracts_styleA.csv
2023-11-18,CON-0007,エンタープライズプラン,IT,30000,18,8,6,解約,競合他社に移行,540000,1,中リスク,高ARPU,contracts_styleA.csv
2023-05-29,CON-0008,エンタープライズプラン,医療,30000,19,13,1,解約,機能不足,570000,1,中リスク,高ARPU,contracts_styleA.csv
2023-07-06,CON-0009,スタータープラン,製造,3000,4,25,4,継続,,12000,0,低リスク,低ARPU,contracts_styleA.csv
2023-12-16,CON-0010,スタータープラン,医療,3000,12,14,10,継続,,36000,0,中リスク,低ARPU,contracts_styleA.csv
2023-05-06,CON-0011,エンタープライズプラン,小売,30000,20,41,2,継続,,600000,0,低リスク,高ARPU,contracts_styleA.csv
2023-04-23,CON-0012,スタータープラン,IT,3000,13,18,10,継続,,39000,0,低リスク,低ARPU,contracts_styleA.csv
2023-07-25,CON-0013,エンタープライズプラン,医療,30000,2,15,0,継続,,60000,0,低リスク,高ARPU,contracts_styleA.csv
2023-06-11,CON-0014,スタンダードプラン,小売,8000,7,59,9,継続,,56000,0,低リスク,高ARPU,contracts_styleA.csv
2023-05-16,CON-0015,スタータープラン,IT,3000,13,57,10,継続,,39000,0,低リスク,低ARPU,contracts_styleA.csv
2023-10-27,CON-0016,スタータープラン,製造,3000,24,36,8,継続,,72000,0,低リスク,低ARPU,contracts_styleA.csv
2023-03-12,CON-0017,スタンダードプラン,サービス,8000,13,24,3,継続,,104000,0,低リスク,高ARPU,contracts_styleA.csv
2023-03-20,CON-0018,エンタープライズプラン,IT,30000,3,49,0,継続,,90000,0,低リスク,高ARPU,contracts_styleA.csv
2023-11-02,CON-0019,エンタープライズプラン,製造,30000,22,28,9,解約,業務終了,660000,1,低リスク,高ARPU,contracts_styleA.csv
2023-02-28,CON-0020,スタンダードプラン,サービス,8000,9,36,0,継続,,72000,0,低リスク,高ARPU,contracts_styleA.csv
2023-05-31,CON-0021,エンタープライズプラン,サービス,30000,9,50,10,継続,,270000,0,低リスク,高ARPU,contracts_styleA.csv
2023-04-02,CON-0022,スタンダードプラン,製造,8000,15,1,4,継続,,120000,0,中リスク,高ARPU,contracts_styleA.csv
2023-04-12,CON-0023,エンタープライズプラン,小売,30000,21,20,10,継続,,630000,0,低リスク,高ARPU,contracts_styleA.csv
2023-11-03,CON-0024,スタータープラン,医療,3000,6,35,8,継続,,18000,0,低リスク,低ARPU,contracts_styleA.csv
2023-06-07,CON-0025,スタンダードプラン,IT,8000,1,8,5,継続,,8000,0,中リスク,高ARPU,contracts_styleA.csv
