受付日,チケットID,カテゴリ,優先度,担当者ID,解決時間(h),エスカレーション,エスカレーション理由,満足度,解決済み
2024/01/04,TKT-0001,ログイン障害,低,AGT-05,32,0,,1,1
2024/01/18,TKT-0002,ログイン障害,低,AGT-07,5,1,技術的複雑性,2,1
2024/01/01,TKT-0003,データ移行,高,AGT-07,29,0,,3,1
2024/01/01,TKT-0004,機能不具合,低,AGT-07,44,0,,2,0
2024/01/11,TKT-0005,ログイン障害,高,AGT-07,13,0,,3,1
2024/01/02,TKT-0006,使い方質問,低,AGT-02,49,1,顧客クレーム,5,1
2024/01/12,TKT-0007,データ移行,高,AGT-02,6,0,,3,0
2024/01/08,TKT-0008,ログイン障害,中,AGT-05,59,0,,3,1
2024/01/12,TKT-0009,機能不具合,低,AGT-05,10,0,,2,1
2024/01/08,TKT-0010,機能不具合,中,AGT-07,35,0,,5,1
2024/01/11,TKT-0011,ログイン障害,高,AGT-01,41,0,,1,1
2024/01/19,TKT-0012,請求問い合わせ,高,AGT-08,51,0,,4,1
2024/01/05,TKT-0013,機能不具合,低,AGT-05,55,0,,4,1
2024/01/05,TKT-0014,データ移行,中,AGT-02,7,0,,2,1
2024/01/14,TKT-0015,データ移行,高,AGT-07,49,0,,4,1
2024/01/18,TKT-0016,ログイン障害,低,AGT-02,69,0,,3,1
2024/01/14,TKT-0017,機能不具合,中,AGT-01,34,0,,2,1
2024/01/04,TKT-0018,請求問い合わせ,低,AGT-04,20,0,,2,1
2024/01/17,TKT-0019,ログイン障害,低,AGT-06,63,1,顧客クレーム,3,1
2024/01/08,TKT-0020,データ移行,高,AGT-02,63,0,,5,1
2024/01/05,TKT-0021,使い方質問,低,AGT-03,34,0,,5,1
2024/01/07,TKT-0022,データ移行,低,AGT-04,40,0,,3,1
2024/01/17,TKT-0023,使い方質問,高,AGT-04,29,1,技術的複雑性,5,1
2024/01/19,TKT-0024,機能不具合,高,AGT-02,8,0,,1,1
2024/01/03,TKT-0025,データ移行,高,AGT-05,63,0,,2,1
2024/01/19,TKT-0026,データ移行,中,AGT-04,61,0,,2,1
2024/01/14,TKT-0027,請求問い合わせ,中,AGT-07,60,0,,1,1
2024/01/04,TKT-0028,ログイン障害,中,AGT-06,14,0,,2,1
2024/01/05,TKT-0029,使い方質問,高,AGT-05,60,0,,1,1
2024/01/18,TKT-0030,ログイン障害,高,AGT-01,12,0,,2,1
2024/01/16,TKT-0031,使い方質問,高,AGT-07,8,0,,1,0
2024/01/09,TKT-0032,使い方質問,中,AGT-07,72,0,,4,1
2024/01/10,TKT-0033,機能不具合,高,AGT-01,41,1,権限不足,4,1
2024/01/17,TKT-0034,機能不具合,高,AGT-02,24,1,技術的複雑性,2,1
2024/01/19,TKT-0035,機能不具合,低,AGT-01,11,0,,5,1
2024/01/11,TKT-0036,請求問い合わせ,高,AGT-06,31,0,,2,1
2024/01/10,TKT-0037,使い方質問,中,AGT-02,2,0,,5,0
2024/01/03,TKT-0038,データ移行,高,AGT-05,17,0,,1,1
