ReceivedDate,TicketID,Category,Priority,AgentID,ResolutionHours,IsEscalated,EscalationReason,Satisfaction,IsResolved
2024-01-12,TKT-0161,ログイン障害,High,AGT-03,52,1,権限不足,1,1
2024-01-17,TKT-0162,機能不具合,Medium,AGT-07,59,0,,3,1
2024-01-11,TKT-0163,データ移行,Low,AGT-02,7,0,,5,1
2024-01-03,TKT-0164,請求問い合わせ,Medium,AGT-07,63,0,,4,1
2024-01-17,TKT-0165,ログイン障害,Medium,AGT-07,15,0,,5,1
2024-01-10,TKT-0166,ログイン障害,High,AGT-07,8,1,顧客クレーム,2,1
2024-01-09,TKT-0167,請求問い合わせ,Medium,AGT-02,1,0,,4,1
2024-01-13,TKT-0168,データ移行,Low,AGT-04,65,0,,3,1
2024-01-02,TKT-0169,使い方質問,High,AGT-08,10,0,,5,1
2024-01-13,TKT-0170,使い方質問,Medium,AGT-02,52,1,顧客クレーム,2,1
2024-01-20,TKT-0171,使い方質問,Low,AGT-06,12,0,,1,1
2024-01-19,TKT-0172,使い方質問,Low,AGT-02,51,0,,3,1
2024-01-06,TKT-0173,ログイン障害,Low,AGT-02,68,0,,3,1
2024-01-05,TKT-0174,機能不具合,High,AGT-03,33,0,,5,1
2024-01-03,TKT-0175,機能不具合,Low,AGT-08,60,0,,5,1
2024-01-19,TKT-0176,データ移行,Medium,AGT-06,20,0,,4,1
2024-01-10,TKT-0177,請求問い合わせ,Low,AGT-01,46,0,,3,1
2024-01-02,TKT-0178,ログイン障害,Medium,AGT-05,10,0,,1,1
2024-01-17,TKT-0179,使い方質問,Medium,AGT-01,58,0,,5,1
2024-01-11,TKT-0180,データ移行,Medium,AGT-03,8,0,,3,0
2024-01-03,TKT-0181,データ移行,Low,AGT-03,6,0,,4,0
2024-01-17,TKT-0182,データ移行,Low,AGT-03,47,0,,3,1
2024-01-11,TKT-0183,データ移行,High,AGT-06,9,0,,5,1
2024-01-10,TKT-0184,請求問い合わせ,Low,AGT-03,43,1,権限不足,2,0
2024-01-10,TKT-0185,使い方質問,High,AGT-02,40,0,,3,1
2024-01-17,TKT-0186,ログイン障害,Low,AGT-07,66,0,,3,1
2024-01-07,TKT-0187,請求問い合わせ,Medium,AGT-04,29,0,,2,1
2024-01-04,TKT-0188,データ移行,Low,AGT-01,44,0,,5,1
2024-01-13,TKT-0189,機能不具合,High,AGT-03,22,0,,1,1
2024-01-08,TKT-0190,使い方質問,Low,AGT-05,58,0,,2,1
2024-01-16,TKT-0191,機能不具合,Medium,AGT-08,60,0,,4,1
2024-01-14,TKT-0192,機能不具合,High,AGT-03,33,1,顧客クレーム,3,1
2024-01-04,TKT-0193,データ移行,High,AGT-05,11,0,,3,1
2024-01-17,TKT-0194,機能不具合,Medium,AGT-02,29,0,,3,0
2024-01-14,TKT-0195,ログイン障害,Medium,AGT-06,31,0,,1,1
2024-01-01,TKT-0196,請求問い合わせ,High,AGT-06,19,1,顧客クレーム,4,1
2024-01-05,TKT-0197,使い方質問,Medium,AGT-01,11,1,技術的複雑性,2,1
2024-01-20,TKT-0198,データ移行,Medium,AGT-02,37,0,,1,1
2024-01-14,TKT-0199,データ移行,Medium,AGT-02,15,0,,4,1
2024-01-01,TKT-0200,データ移行,Low,AGT-04,19,0,,1,1
2024-01-08,TKT-0201,データ移行,Medium,AGT-03,11,0,,3,1
2024-01-17,TKT-0202,データ移行,Low,AGT-01,50,0,,1,1
2024-01-12,TKT-0203,請求問い合わせ,Low,AGT-01,46,0,,3,1
2024-01-04,TKT-0204,データ移行,Low,AGT-06,18,1,権限不足,3,1
2024-01-06,TKT-0205,使い方質問,Low,AGT-08,24,0,,1,1
2024-01-15,TKT-0206,ログイン障害,Medium,AGT-04,6,0,,1,1
2024-01-10,TKT-0207,データ移行,Medium,AGT-08,33,1,権限不足,2,1
2024-01-02,TKT-0208,請求問い合わせ,Medium,AGT-02,48,0,,4,1
2024-01-13,TKT-0209,請求問い合わせ,High,AGT-08,64,0,,5,1
2024-01-03,TKT-0210,使い方質問,High,AGT-07,24,0,,3,1
2024-01-11,TKT-0211,請求問い合わせ,Medium,AGT-08,55,0,,4,1
2024-01-02,TKT-0212,請求問い合わせ,Low,AGT-07,36,0,,1,1
2024-01-13,TKT-0213,請求問い合わせ,Low,AGT-03,4,1,権限不足,4,1
2024-01-03,TKT-0214,機能不具合,Low,AGT-06,47,0,,5,1
2024-01-05,TKT-0215,使い方質問,Medium,AGT-06,57,0,,5,1
2024-01-12,TKT-0216,使い方質問,Medium,AGT-05,32,0,,1,1
2024-01-16,TKT-0217,データ移行,Medium,AGT-02,34,0,,4,1
2024-01-20,TKT-0218,請求問い合わせ,Low,AGT-08,26,1,技術的複雑性,4,1
2024-01-15,TKT-0219,ログイン障害,Low,AGT-06,45,0,,5,1
2024-01-10,TKT-0220,機能不具合,Low,AGT-03,47,0,,1,0
2024-01-05,TKT-0221,機能不具合,Medium,AGT-01,47,0,,3,1
2024-01-18,TKT-0222,機能不具合,Low,AGT-02,9,0,,4,1
2024-01-14,TKT-0223,データ移行,High,AGT-03,41,0,,4,1
2024-01-17,TKT-0224,請求問い合わせ,High,AGT-03,17,0,,1,1
2024-01-17,TKT-0225,機能不具合,Medium,AGT-03,21,0,,2,1
2024-01-17,TKT-0226,請求問い合わせ,High,AGT-05,26,0,,5,1
2024-01-10,TKT-0227,データ移行,Low,AGT-02,65,0,,5,0
2024-01-05,TKT-0228,機能不具合,Low,AGT-06,6,0,,1,1
2024-01-19,TKT-0229,請求問い合わせ,Low,AGT-04,54,0,,1,1
2024-01-18,TKT-0230,請求問い合わせ,Low,AGT-05,62,0,,4,1
2024-01-03,TKT-0231,ログイン障害,High,AGT-08,54,0,,2,1
2024-01-05,TKT-0232,請求問い合わせ,Low,AGT-06,45,0,,2,1
2024-01-17,TKT-0233,データ移行,High,AGT-06,31,0,,3,1
2024-01-05,TKT-0234,ログイン障害,High,AGT-05,50,0,,4,1
2024-01-06,TKT-0235,請求問い合わせ,Low,AGT-06,25,0,,4,0
2024-01-15,TKT-0236,使い方質問,Medium,AGT-08,3,1,顧客クレーム,5,1
2024-01-08,TKT-0237,機能不具合,Low,AGT-06,7,1,顧客クレーム,5,1
2024-01-16,TKT-0238,請求問い合わせ,Low,AGT-01,14,0,,3,1
2024-01-13,TKT-0239,請求問い合わせ,High,AGT-07,7,0,,2,1
2024-01-10,TKT-0240,ログイン障害,Medium,AGT-08,71,0,,5,1
2024-01-04,TKT-0241,機能不具合,High,AGT-07,48,0,,3,1
2024-01-12,TKT-0242,機能不具合,High,AGT-07,65,1,技術的複雑性,2,1
2024-01-16,TKT-0243,データ移行,Medium,AGT-03,66,1,権限不足,3,1
2024-01-20,TKT-0244,請求問い合わせ,Low,AGT-06,65,0,,5,1
2024-01-19,TKT-0245,請求問い合わせ,Medium,AGT-01,48,0,,1,0
2024-01-19,TKT-0246,請求問い合わせ,Low,AGT-01,61,0,,5,1
2024-01-02,TKT-0247,データ移行,Medium,AGT-03,68,0,,5,1
2024-01-13,TKT-0248,機能不具合,Low,AGT-04,5,0,,1,1
2024-01-15,TKT-0249,請求問い合わせ,Medium,AGT-03,53,0,,4,1
2024-01-20,TKT-0250,使い方質問,Low,AGT-01,18,0,,5,1
2024-01-16,TKT-0251,データ移行,Medium,AGT-06,23,0,,5,1
2024-01-12,TKT-0252,請求問い合わせ,Low,AGT-08,25,0,,3,1
2024-01-08,TKT-0253,請求問い合わせ,Medium,AGT-04,63,0,,3,1
2024-01-09,TKT-0254,請求問い合わせ,High,AGT-07,51,0,,2,1
2024-01-10,TKT-0255,ログイン障害,Medium,AGT-08,33,0,,2,1
2024-01-18,TKT-0256,請求問い合わせ,Low,AGT-05,18,1,権限不足,5,1
2024-01-02,TKT-0257,データ移行,High,AGT-04,7,1,顧客クレーム,4,1
2024-01-05,TKT-0258,ログイン障害,Low,AGT-03,53,0,,4,1
2024-01-07,TKT-0259,請求問い合わせ,Medium,AGT-05,8,0,,1,1
2024-01-08,TKT-0260,データ移行,Low,AGT-01,23,0,,2,0
2024-01-02,TKT-0261,使い方質問,Medium,AGT-03,38,0,,1,1
2024-01-20,TKT-0262,ログイン障害,Medium,AGT-05,59,0,,5,1
2024-01-05,TKT-0263,データ移行,Medium,AGT-05,25,0,,3,1
2024-01-15,TKT-0264,請求問い合わせ,Low,AGT-03,2,0,,3,1
2024-01-07,TKT-0265,機能不具合,Low,AGT-07,55,0,,1,1
2024-01-04,TKT-0266,機能不具合,High,AGT-08,42,0,,1,1
2024-01-08,TKT-0267,使い方質問,Medium,AGT-06,39,0,,5,1
2024-01-12,TKT-0268,機能不具合,High,AGT-02,60,0,,4,1
2024-01-10,TKT-0269,ログイン障害,Low,AGT-05,48,0,,2,0
2024-01-16,TKT-0270,機能不具合,Medium,AGT-06,54,0,,4,1
2024-01-07,TKT-0271,機能不具合,Low,AGT-02,68,0,,3,1
2024-01-19,TKT-0272,ログイン障害,High,AGT-04,69,1,顧客クレーム,5,1
2024-01-07,TKT-0273,データ移行,Medium,AGT-02,66,0,,1,1
2024-01-17,TKT-0274,使い方質問,Medium,AGT-01,72,0,,3,1
2024-01-13,TKT-0275,請求問い合わせ,High,AGT-04,10,1,顧客クレーム,1,1
2024-01-02,TKT-0276,ログイン障害,Medium,AGT-01,37,0,,2,1
2024-01-14,TKT-0277,請求問い合わせ,Medium,AGT-08,49,0,,5,1
2024-01-12,TKT-0278,ログイン障害,High,AGT-07,68,1,技術的複雑性,1,1
2024-01-10,TKT-0279,使い方質問,Low,AGT-07,69,0,,2,1
2024-01-12,TKT-0280,機能不具合,Medium,AGT-04,15,1,権限不足,4,1
2024-01-01,TKT-0281,機能不具合,High,AGT-02,13,0,,4,1
2024-01-02,TKT-0282,機能不具合,Low,AGT-01,52,0,,5,1
2024-01-02,TKT-0283,機能不具合,Low,AGT-05,30,0,,5,1
2024-01-20,TKT-0284,請求問い合わせ,High,AGT-05,19,0,,5,1
2024-01-10,TKT-0285,請求問い合わせ,High,AGT-03,55,0,,1,0
2024-01-13,TKT-0286,データ移行,Medium,AGT-07,53,1,顧客クレーム,2,1
2024-01-16,TKT-0287,機能不具合,High,AGT-05,19,0,,1,1
2024-01-14,TKT-0288,データ移行,Low,AGT-03,50,0,,2,1
2024-01-03,TKT-0289,使い方質問,Medium,AGT-02,69,0,,2,1
2024-01-13,TKT-0290,データ移行,Low,AGT-01,10,0,,5,1
2024-01-18,TKT-0291,機能不具合,Medium,AGT-04,43,0,,1,1
2024-01-07,TKT-0292,ログイン障害,Low,AGT-08,32,0,,2,1
2024-01-08,TKT-0293,データ移行,Medium,AGT-05,49,0,,3,1
2024-01-12,TKT-0294,データ移行,Medium,AGT-08,13,0,,4,1
2024-01-11,TKT-0295,機能不具合,Medium,AGT-06,53,1,技術的複雑性,2,1
2024-01-18,TKT-0296,データ移行,Low,AGT-07,38,0,,3,1
2024-01-19,TKT-0297,機能不具合,Medium,AGT-06,33,0,,4,0
2024-01-16,TKT-0298,使い方質問,High,AGT-06,22,1,権限不足,4,1
2024-01-18,TKT-0299,ログイン障害,Low,AGT-01,10,0,,1,1
2024-01-14,TKT-0300,機能不具合,Low,AGT-04,9,0,,1,1
2024-01-15,TKT-0301,請求問い合わせ,High,AGT-08,63,1,権限不足,5,1
2024-01-01,TKT-0302,データ移行,Low,AGT-05,69,0,,1,1
2024-01-14,TKT-0303,機能不具合,High,AGT-02,68,1,技術的複雑性,5,1
2024-01-12,TKT-0304,請求問い合わせ,Medium,AGT-02,48,0,,4,1
2024-01-08,TKT-0305,請求問い合わせ,Low,AGT-02,5,1,顧客クレーム,4,1
2024-01-02,TKT-0306,ログイン障害,Low,AGT-03,11,0,,4,1
2024-01-11,TKT-0307,データ移行,High,AGT-01,30,0,,5,1
2024-01-02,TKT-0308,ログイン障害,Low,AGT-05,70,0,,1,1
2024-01-11,TKT-0309,ログイン障害,High,AGT-03,51,0,,3,1
2024-01-08,TKT-0310,データ移行,Medium,AGT-06,50,0,,2,1
2024-01-03,TKT-0311,データ移行,Low,AGT-06,7,1,技術的複雑性,1,1
2024-01-20,TKT-0312,データ移行,Medium,AGT-06,4,0,,4,1
2024-01-12,TKT-0313,データ移行,Medium,AGT-07,24,0,,4,1
2024-01-20,TKT-0314,請求問い合わせ,High,AGT-02,11,0,,4,1
2024-01-05,TKT-0315,使い方質問,Medium,AGT-06,14,1,顧客クレーム,4,1
2024-01-09,TKT-0316,ログイン障害,High,AGT-02,24,0,,5,1
2024-01-14,TKT-0317,ログイン障害,High,AGT-02,46,0,,5,1
2024-01-11,TKT-0318,使い方質問,High,AGT-05,53,0,,1,1
2024-01-18,TKT-0319,機能不具合,Low,AGT-03,49,0,,3,1
2024-01-16,TKT-0320,機能不具合,High,AGT-03,56,0,,3,1
