起票日,案件番号,問い合わせ分類,緊急度,対応者ID,対応時間,上申,上申理由,CS満足度,完了
2024/01/03,TKT-0321,請求問い合わせ,中,AGT-04,64,0,,2,1
2024/01/05,TKT-0322,請求問い合わせ,高,AGT-07,43,0,,4,1
2024/01/11,TKT-0323,使い方質問,中,AGT-07,18,0,,5,0
2024/01/07,TKT-0324,使い方質問,中,AGT-03,51,0,,3,1
2024/01/16,TKT-0325,データ移行,高,AGT-06,49,0,,4,1
2024/01/19,TKT-0326,機能不具合,低,AGT-03,71,1,権限不足,4,0
2024/01/07,TKT-0327,使い方質問,中,AGT-02,53,0,,2,1
2024/01/08,TKT-0328,請求問い合わせ,低,AGT-03,55,0,,1,1
2024/01/20,TKT-0329,使い方質問,低,AGT-07,69,0,,4,1
2024/01/12,TKT-0330,データ移行,低,AGT-02,14,0,,3,1
2024/01/20,TKT-0331,ログイン障害,低,AGT-07,43,0,,4,1
2024/01/04,TKT-0332,請求問い合わせ,高,AGT-04,58,0,,4,1
2024/01/19,TKT-0333,データ移行,高,AGT-06,4,0,,3,1
2024/01/03,TKT-0334,ログイン障害,低,AGT-03,45,0,,4,1
2024/01/17,TKT-0335,使い方質問,中,AGT-08,13,0,,4,1
2024/01/10,TKT-0336,ログイン障害,低,AGT-02,3,0,,1,1
2024/01/06,TKT-0337,機能不具合,低,AGT-03,71,0,,5,1
2024/01/15,TKT-0338,機能不具合,中,AGT-03,24,0,,4,1
2024/01/20,TKT-0339,機能不具合,中,AGT-07,50,1,技術的複雑性,2,1
2024/01/03,TKT-0340,データ移行,高,AGT-03,47,0,,4,1
2024/01/16,TKT-0341,データ移行,低,AGT-06,50,0,,5,1
2024/01/12,TKT-0342,使い方質問,低,AGT-03,39,0,,5,1
2024/01/05,TKT-0343,請求問い合わせ,高,AGT-04,40,1,顧客クレーム,2,1
2024/01/14,TKT-0344,データ移行,高,AGT-07,55,0,,5,1
2024/01/06,TKT-0345,データ移行,高,AGT-08,37,1,顧客クレーム,4,1
2024/01/12,TKT-0346,ログイン障害,中,AGT-03,25,0,,5,1
2024/01/16,TKT-0347,使い方質問,低,AGT-08,54,0,,4,1
2024/01/03,TKT-0348,データ移行,高,AGT-04,38,1,技術的複雑性,5,1
2024/01/15,TKT-0349,データ移行,低,AGT-08,71,0,,5,1
2024/01/18,TKT-0350,請求問い合わせ,低,AGT-01,57,0,,4,1
2024/01/08,TKT-0351,請求問い合わせ,高,AGT-08,34,0,,1,1
2024/01/04,TKT-0352,機能不具合,高,AGT-06,55,0,,2,1
2024/01/07,TKT-0353,ログイン障害,低,AGT-06,69,0,,5,1
2024/01/10,TKT-0354,請求問い合わせ,低,AGT-05,66,0,,1,1
2024/01/14,TKT-0355,ログイン障害,中,AGT-03,17,0,,3,1
2024/01/13,TKT-0356,使い方質問,高,AGT-05,54,0,,1,1
2024/01/03,TKT-0357,使い方質問,低,AGT-05,48,0,,4,1
2024/01/01,TKT-0358,ログイン障害,低,AGT-08,46,0,,5,1
2024/01/14,TKT-0359,機能不具合,中,AGT-05,42,0,,3,1
2024/01/05,TKT-0360,データ移行,中,AGT-06,7,1,権限不足,4,1
2024/01/06,TKT-0361,使い方質問,中,AGT-01,55,0,,2,1
2024/01/10,TKT-0362,機能不具合,中,AGT-02,47,0,,3,1
2024/01/06,TKT-0363,ログイン障害,中,AGT-05,30,0,,1,1
2024/01/01,TKT-0364,機能不具合,中,AGT-02,17,0,,5,1
2024/01/01,TKT-0365,ログイン障害,低,AGT-06,16,0,,4,1
2024/01/16,TKT-0366,ログイン障害,高,AGT-07,12,0,,1,1
2024/01/12,TKT-0367,請求問い合わせ,高,AGT-07,18,0,,2,1
2024/01/19,TKT-0368,ログイン障害,低,AGT-03,57,0,,2,1
2024/01/05,TKT-0369,使い方質問,低,AGT-08,28,1,技術的複雑性,2,1
2024/01/19,TKT-0370,使い方質問,中,AGT-07,41,0,,2,1
2024/01/03,TKT-0371,機能不具合,低,AGT-05,4,0,,3,1
2024/01/20,TKT-0372,データ移行,高,AGT-07,38,0,,2,1
2024/01/04,TKT-0373,機能不具合,中,AGT-02,68,0,,1,0
2024/01/11,TKT-0374,機能不具合,中,AGT-07,47,0,,2,1
2024/01/03,TKT-0375,ログイン障害,低,AGT-02,2,0,,1,0
2024/01/13,TKT-0376,データ移行,中,AGT-07,55,0,,1,1
2024/01/18,TKT-0377,データ移行,高,AGT-05,11,0,,5,0
2024/01/05,TKT-0378,データ移行,中,AGT-07,9,0,,4,1
2024/01/08,TKT-0379,ログイン障害,高,AGT-02,56,1,権限不足,5,1
2024/01/06,TKT-0380,ログイン障害,高,AGT-03,2,0,,3,1
2024/01/09,TKT-0381,機能不具合,中,AGT-03,35,0,,1,1
2024/01/01,TKT-0382,請求問い合わせ,中,AGT-05,68,1,権限不足,5,1
2024/01/16,TKT-0383,使い方質問,低,AGT-06,8,0,,5,1
2024/01/06,TKT-0384,請求問い合わせ,高,AGT-02,30,0,,1,1
2024/01/01,TKT-0385,機能不具合,高,AGT-08,47,0,,2,1
2024/01/02,TKT-0386,データ移行,低,AGT-07,29,0,,4,0
2024/01/11,TKT-0387,請求問い合わせ,高,AGT-06,16,0,,1,1
2024/01/17,TKT-0388,ログイン障害,中,AGT-02,60,0,,3,1
2024/01/18,TKT-0389,使い方質問,高,AGT-06,26,0,,3,1
2024/01/08,TKT-0390,使い方質問,中,AGT-08,26,0,,5,1
2024/01/08,TKT-0391,機能不具合,高,AGT-07,4,0,,3,1
2024/01/01,TKT-0392,請求問い合わせ,高,AGT-07,40,1,権限不足,2,1
2024/01/02,TKT-0393,機能不具合,低,AGT-05,12,1,技術的複雑性,5,1
2024/01/12,TKT-0394,使い方質問,低,AGT-02,13,0,,4,1
2024/01/19,TKT-0395,ログイン障害,中,AGT-03,31,0,,3,0
