収穫日,記録ID,農場ID,農場名,作物名,収穫量(kg),A等級数量,不合格数量,検査員ID
2024/01/04,REC-0001,FARM-A,農場A,ピーマン,160.2,22.4,1.6,INS-05
2024/01/03,REC-0002,FARM-D,農場D,トマト,63.4,13.9,3.2,INS-01
2024/01/18,REC-0003,FARM-B,農場B,ほうれん草,238.8,107.3,6.6,INS-01
2024/01/06,REC-0004,FARM-D,農場D,ピーマン,175.0,37.7,13.4,INS-01
2024/01/03,REC-0005,FARM-D,農場D,トマト,211.5,72.7,5.6,INS-01
2024/01/15,REC-0006,FARM-A,農場A,レタス,85.5,25.1,5.4,INS-03
2024/01/19,REC-0007,FARM-B,農場B,トマト,70.6,16.1,2.0,INS-01
2024/01/08,REC-0008,FARM-A,農場A,レタス,175.1,111.3,6.4,INS-03
2024/01/12,REC-0009,FARM-B,農場B,ピーマン,365.8,250.0,2.6,INS-02
2024/01/18,REC-0010,FARM-B,農場B,キュウリ,258.0,69.6,23.9,INS-05
2024/01/08,REC-0011,FARM-C,農場C,トマト,153.1,4.9,4.8,INS-03
2024/01/03,REC-0012,FARM-B,農場B,ほうれん草,444.4,139.8,29.1,INS-04
2024/01/15,REC-0013,FARM-B,農場B,ピーマン,112.8,84.0,6.1,INS-05
2024/01/14,REC-0014,FARM-D,農場D,ピーマン,148.7,148.3,7.6,INS-01
2024/01/02,REC-0015,FARM-A,農場A,キュウリ,332.4,263.3,14.0,INS-01
2024/01/13,REC-0016,FARM-D,農場D,ほうれん草,498.3,263.7,48.4,INS-01
2024/01/04,REC-0017,FARM-C,農場C,ピーマン,100.2,43.6,4.5,INS-03
2024/01/17,REC-0018,FARM-B,農場B,ほうれん草,460.7,401.0,13.7,INS-05
2024/01/20,REC-0019,FARM-B,農場B,キュウリ,218.3,35.3,20.8,INS-05
2024/01/01,REC-0020,FARM-C,農場C,レタス,58.8,54.6,5.2,INS-03
2024/01/08,REC-0021,FARM-A,農場A,キュウリ,445.1,421.5,3.8,INS-04
2024/01/03,REC-0022,FARM-B,農場B,キュウリ,346.9,328.5,5.7,INS-05
2024/01/20,REC-0023,FARM-D,農場D,キュウリ,468.0,353.5,32.3,INS-03
2024/01/13,REC-0024,FARM-C,農場C,レタス,454.8,205.3,11.3,INS-01
2024/01/11,REC-0025,FARM-A,農場A,ほうれん草,299.3,176.1,0.2,INS-01
2024/01/08,REC-0026,FARM-A,農場A,トマト,436.8,31.0,10.4,INS-04
2024/01/07,REC-0027,FARM-B,農場B,ほうれん草,309.3,75.2,14.6,INS-04
2024/01/07,REC-0028,FARM-A,農場A,トマト,346.5,122.8,14.2,INS-01
2024/01/04,REC-0029,FARM-A,農場A,レタス,377.7,302.4,4.1,INS-02
2024/01/07,REC-0030,FARM-D,農場D,キュウリ,239.8,66.8,6.0,INS-01
2024/01/15,REC-0031,FARM-A,農場A,トマト,343.5,185.7,0.5,INS-01
2024/01/08,REC-0032,FARM-B,農場B,レタス,268.5,57.4,10.8,INS-01
2024/01/06,REC-0033,FARM-D,農場D,トマト,493.4,130.9,38.7,INS-04
2024/01/10,REC-0034,FARM-D,農場D,ほうれん草,347.8,169.3,6.6,INS-02
2024/01/02,REC-0035,FARM-A,農場A,ピーマン,75.7,44.2,3.8,INS-05
2024/01/06,REC-0036,FARM-A,農場A,ほうれん草,86.1,16.0,5.1,INS-02
2024/01/13,REC-0037,FARM-A,農場A,ほうれん草,160.8,95.6,10.0,INS-04
2024/01/19,REC-0038,FARM-C,農場C,ピーマン,141.9,101.6,3.4,INS-04
2024/01/05,REC-0039,FARM-C,農場C,レタス,192.3,144.6,1.4,INS-04
2024/01/20,REC-0040,FARM-A,農場A,トマト,291.9,147.7,3.9,INS-03
2024/01/03,REC-0041,FARM-B,農場B,ピーマン,178.2,78.1,9.7,INS-03
2024/01/20,REC-0042,FARM-A,農場A,ほうれん草,184.7,122.5,17.3,INS-02
2024/01/09,REC-0043,FARM-A,農場A,トマト,384.1,59.7,10.8,INS-02
2024/01/11,REC-0044,FARM-B,農場B,ピーマン,277.4,69.7,25.2,INS-01
2024/01/03,REC-0045,FARM-D,農場D,ピーマン,69.8,23.3,0.9,INS-03
2024/01/06,REC-0046,FARM-D,農場D,ほうれん草,367.6,206.2,4.1,INS-02
2024/01/18,REC-0047,FARM-A,農場A,ピーマン,312.1,46.2,4.0,INS-03
2024/01/12,REC-0048,FARM-A,農場A,ピーマン,144.5,36.1,1.5,INS-05
2024/01/14,REC-0049,FARM-B,農場B,キュウリ,439.1,428.7,35.6,INS-04
2024/01/01,REC-0050,FARM-B,農場B,ピーマン,402.1,165.5,26.9,INS-02
2024/01/09,REC-0051,FARM-B,農場B,トマト,222.1,8.6,10.5,INS-02
2024/01/15,REC-0052,FARM-C,農場C,ピーマン,419.2,365.3,9.3,INS-02
2024/01/13,REC-0053,FARM-C,農場C,ピーマン,439.0,424.5,12.3,INS-05
2024/01/13,REC-0054,FARM-C,農場C,トマト,101.9,98.9,1.8,INS-03
2024/01/02,REC-0055,FARM-A,農場A,ほうれん草,245.6,178.9,7.7,INS-05
2024/01/17,REC-0056,FARM-A,農場A,レタス,454.8,86.4,2.0,INS-04
2024/01/01,REC-0057,FARM-B,農場B,ピーマン,244.1,231.6,22.5,INS-05
2024/01/11,REC-0058,FARM-A,農場A,ピーマン,278.2,185.5,9.1,INS-03
2024/01/18,REC-0059,FARM-B,農場B,キュウリ,239.2,224.9,16.2,INS-02
2024/01/20,REC-0060,FARM-C,農場C,レタス,296.6,0.1,8.5,INS-04
2024/01/19,REC-0061,FARM-C,農場C,レタス,248.8,168.1,12.7,INS-02
2024/01/03,REC-0062,FARM-C,農場C,ほうれん草,348.7,215.9,3.3,INS-02
2024/01/10,REC-0063,FARM-B,農場B,キュウリ,116.3,5.4,11.4,INS-05
2024/01/03,REC-0064,FARM-D,農場D,レタス,448.8,258.4,32.2,INS-04
2024/01/16,REC-0065,FARM-D,農場D,キュウリ,116.4,80.0,10.4,INS-01
