HarvestDate,RecordID,FarmID,FarmName,Crop,HarvestQty,GradeAQty,DefectQty,InspectorID
2024-01-03,REC-0161,FARM-D,農場D,レタス,400.1,205.3,4.4,INS-05
2024-01-08,REC-0162,FARM-A,農場A,ほうれん草,185.7,119.5,0.6,INS-04
2024-01-13,REC-0163,FARM-D,農場D,トマト,270.6,246.2,2.0,INS-01
2024-01-11,REC-0164,FARM-B,農場B,トマト,106.8,66.7,6.3,INS-03
2024-01-13,REC-0165,FARM-C,農場C,レタス,277.5,119.4,22.0,INS-01
2024-01-18,REC-0166,FARM-B,農場B,レタス,253.2,57.9,8.6,INS-04
2024-01-13,REC-0167,FARM-D,農場D,トマト,190.6,59.6,4.9,INS-02
2024-01-16,REC-0168,FARM-A,農場A,トマト,424.3,39.6,4.1,INS-03
2024-01-05,REC-0169,FARM-A,農場A,ほうれん草,480.5,269.9,32.2,INS-04
2024-01-12,REC-0170,FARM-D,農場D,トマト,485.8,291.7,17.1,INS-05
2024-01-17,REC-0171,FARM-B,農場B,キュウリ,345.5,77.5,3.7,INS-05
2024-01-12,REC-0172,FARM-A,農場A,ピーマン,308.3,248.9,26.1,INS-05
2024-01-20,REC-0173,FARM-A,農場A,ほうれん草,468.1,388.3,12.5,INS-02
2024-01-09,REC-0174,FARM-C,農場C,ピーマン,208.0,37.7,3.0,INS-04
2024-01-03,REC-0175,FARM-B,農場B,トマト,91.3,48.4,3.4,INS-04
2024-01-11,REC-0176,FARM-B,農場B,ピーマン,190.2,61.7,17.9,INS-05
2024-01-03,REC-0177,FARM-A,農場A,キュウリ,120.8,74.6,8.1,INS-03
2024-01-15,REC-0178,FARM-D,農場D,レタス,323.2,133.9,7.0,INS-05
2024-01-04,REC-0179,FARM-C,農場C,レタス,99.9,67.8,5.9,INS-05
2024-01-10,REC-0180,FARM-A,農場A,キュウリ,227.9,136.6,0.2,INS-03
2024-01-07,REC-0181,FARM-B,農場B,ピーマン,180.3,21.6,9.0,INS-04
2024-01-06,REC-0182,FARM-B,農場B,レタス,289.7,66.7,16.2,INS-03
