出荷日,レコード番号,圃場ID,圃場名,品目,収量kg,A品数量,不良数量,担当検査員
2024/01/11,REC-0321,FARM-B,農場B,ピーマン,190.8,8.7,16.5,INS-02
2024/01/01,REC-0322,FARM-C,農場C,ほうれん草,470.6,272.5,19.7,INS-02
2024/01/07,REC-0323,FARM-C,農場C,キュウリ,220.9,184.1,11.0,INS-03
2024/01/09,REC-0324,FARM-D,農場D,レタス,257.4,188.6,9.1,INS-02
2024/01/18,REC-0325,FARM-D,農場D,キュウリ,462.6,250.8,29.7,INS-01
2024/01/17,REC-0326,FARM-A,農場A,トマト,475.3,317.6,36.3,INS-04
2024/01/05,REC-0327,FARM-B,農場B,トマト,368.2,3.4,18.6,INS-03
2024/01/02,REC-0328,FARM-D,農場D,レタス,57.1,30.4,2.3,INS-01
2024/01/17,REC-0329,FARM-C,農場C,ほうれん草,489.9,8.4,39.8,INS-04
2024/01/06,REC-0330,FARM-A,農場A,トマト,286.0,68.9,17.7,INS-03
2024/01/12,REC-0331,FARM-C,農場C,レタス,85.6,82.1,3.9,INS-02
2024/01/08,REC-0332,FARM-C,農場C,トマト,344.2,295.4,26.1,INS-01
2024/01/13,REC-0333,FARM-D,農場D,レタス,298.7,16.8,0.3,INS-02
2024/01/03,REC-0334,FARM-D,農場D,レタス,340.2,112.7,33.2,INS-01
2024/01/17,REC-0335,FARM-A,農場A,キュウリ,145.1,126.0,12.9,INS-04
2024/01/09,REC-0336,FARM-A,農場A,トマト,358.0,100.4,19.4,INS-01
2024/01/06,REC-0337,FARM-C,農場C,トマト,482.7,283.4,36.3,INS-04
2024/01/03,REC-0338,FARM-C,農場C,キュウリ,303.8,172.2,25.8,INS-05
2024/01/11,REC-0339,FARM-D,農場D,キュウリ,405.7,279.7,3.2,INS-03
2024/01/02,REC-0340,FARM-A,農場A,レタス,154.5,11.7,9.3,INS-05
2024/01/20,REC-0341,FARM-D,農場D,ピーマン,63.3,17.3,6.3,INS-04
2024/01/08,REC-0342,FARM-C,農場C,ほうれん草,473.5,204.5,32.2,INS-04
2024/01/03,REC-0343,FARM-C,農場C,キュウリ,370.9,30.4,5.7,INS-02
2024/01/13,REC-0344,FARM-C,農場C,ピーマン,97.9,0.5,3.0,INS-03
2024/01/09,REC-0345,FARM-A,農場A,キュウリ,89.3,38.5,5.0,INS-05
2024/01/14,REC-0346,FARM-A,農場A,トマト,90.3,50.0,5.4,INS-03
2024/01/13,REC-0347,FARM-A,農場A,ピーマン,236.2,184.0,17.1,INS-05
2024/01/08,REC-0348,FARM-B,農場B,レタス,126.3,34.0,3.4,INS-02
2024/01/03,REC-0349,FARM-B,農場B,レタス,174.2,52.2,13.6,INS-03
2024/01/09,REC-0350,FARM-B,農場B,レタス,317.2,62.0,3.4,INS-03
2024/01/01,REC-0351,FARM-D,農場D,ピーマン,428.7,162.9,37.0,INS-04
2024/01/11,REC-0352,FARM-D,農場D,ほうれん草,111.3,35.7,10.5,INS-02
2024/01/16,REC-0353,FARM-C,農場C,キュウリ,484.1,469.0,14.1,INS-04
2024/01/19,REC-0354,FARM-B,農場B,ピーマン,219.2,179.0,8.6,INS-01
2024/01/19,REC-0355,FARM-B,農場B,ほうれん草,498.8,89.7,38.3,INS-01
2024/01/15,REC-0356,FARM-B,農場B,レタス,409.0,340.0,2.8,INS-04
2024/01/16,REC-0357,FARM-B,農場B,ピーマン,158.9,104.7,11.4,INS-04
2024/01/03,REC-0358,FARM-D,農場D,ほうれん草,265.7,106.5,13.5,INS-04
