harvest_date,record_id,farm_id,farm_name,crop,harvest_qty,grade_a_qty,defect_qty,inspector_id,grade_a_rate,defect_rate,quality_flag,source_file
2024-01-04,REC-0001,FARM-A,農場A,ピーマン,160.2,22.4,1.6,INS-05,0.13982521847690388,0.009987515605493135,要改善,harvest_styleA.csv
2024-01-03,REC-0002,FARM-D,農場D,トマト,63.4,13.9,3.2,INS-01,0.2192429022082019,0.05047318611987382,要改善,harvest_styleA.csv
2024-01-18,REC-0003,FARM-B,農場B,ほうれん草,238.8,107.3,6.6,INS-01,0.44932998324958123,0.027638190954773868,要改善,harvest_styleA.csv
2024-01-06,REC-0004,FARM-D,農場D,ピーマン,175.0,37.7,13.4,INS-01,0.21542857142857144,0.07657142857142857,要改善,harvest_styleA.csv
2024-01-03,REC-0005,FARM-D,農場D,トマト,211.5,72.7,5.6,INS-01,0.3437352245862884,0.026477541371158392,要改善,harvest_styleA.csv
2024-01-15,REC-0006,FARM-A,農場A,レタス,85.5,25.1,5.4,INS-03,0.2935672514619883,0.06315789473684211,要改善,harvest_styleA.csv
2024-01-19,REC-0007,FARM-B,農場B,トマト,70.6,16.1,2.0,INS-01,0.22804532577903686,0.028328611898017,要改善,harvest_styleA.csv
2024-01-08,REC-0008,FARM-A,農場A,レタス,175.1,111.3,6.4,INS-03,0.6356367789834381,0.036550542547115934,合格,harvest_styleA.csv
2024-01-12,REC-0009,FARM-B,農場B,ピーマン,365.8,250.0,2.6,INS-02,0.683433570256971,0.007107709130672498,合格,harvest_styleA.csv
2024-01-18,REC-0010,FARM-B,農場B,キュウリ,258.0,69.6,23.9,INS-05,0.2697674418604651,0.09263565891472868,要改善,harvest_styleA.csv
2024-01-08,REC-0011,FARM-C,農場C,トマト,153.1,4.9,4.8,INS-03,0.032005225342913134,0.031352057478772045,要改善,harvest_styleA.csv
2024-01-03,REC-0012,FARM-B,農場B,ほうれん草,444.4,139.8,29.1,INS-04,0.3145814581458146,0.0654815481548155,要改善,harvest_styleA.csv
2024-01-15,REC-0013,FARM-B,農場B,ピーマン,112.8,84.0,6.1,INS-05,0.7446808510638298,0.05407801418439716,合格,harvest_styleA.csv
2024-01-14,REC-0014,FARM-D,農場D,ピーマン,148.7,148.3,7.6,INS-01,0.9973100201748488,0.05110961667787492,優良,harvest_styleA.csv
2024-01-02,REC-0015,FARM-A,農場A,キュウリ,332.4,263.3,14.0,INS-01,0.7921179302045729,0.04211793020457281,合格,harvest_styleA.csv
2024-01-13,REC-0016,FARM-D,農場D,ほうれん草,498.3,263.7,48.4,INS-01,0.5291992775436484,0.09713024282560706,要改善,harvest_styleA.csv
2024-01-04,REC-0017,FARM-C,農場C,ピーマン,100.2,43.6,4.5,INS-03,0.4351297405189621,0.04491017964071856,要改善,harvest_styleA.csv
2024-01-17,REC-0018,FARM-B,農場B,ほうれん草,460.7,401.0,13.7,INS-05,0.8704145864988062,0.02973735619709138,優良,harvest_styleA.csv
2024-01-20,REC-0019,FARM-B,農場B,キュウリ,218.3,35.3,20.8,INS-05,0.16170407695831424,0.09528172240036646,要改善,harvest_styleA.csv
2024-01-01,REC-0020,FARM-C,農場C,レタス,58.8,54.6,5.2,INS-03,0.9285714285714286,0.08843537414965986,優良,harvest_styleA.csv
2024-01-08,REC-0021,FARM-A,農場A,キュウリ,445.1,421.5,3.8,INS-04,0.9469782071444619,0.008537407324196809,優良,harvest_styleA.csv
2024-01-03,REC-0022,FARM-B,農場B,キュウリ,346.9,328.5,5.7,INS-05,0.9469587777457481,0.01643124819832805,優良,harvest_styleA.csv
2024-01-20,REC-0023,FARM-D,農場D,キュウリ,468.0,353.5,32.3,INS-03,0.7553418803418803,0.06901709401709401,合格,harvest_styleA.csv
2024-01-13,REC-0024,FARM-C,農場C,レタス,454.8,205.3,11.3,INS-01,0.4514072119613017,0.02484608619173263,要改善,harvest_styleA.csv
2024-01-11,REC-0025,FARM-A,農場A,ほうれん草,299.3,176.1,0.2,INS-01,0.5883728700300701,0.0006682258603407952,要改善,harvest_styleA.csv
2024-01-08,REC-0026,FARM-A,農場A,トマト,436.8,31.0,10.4,INS-04,0.07097069597069597,0.023809523809523808,要改善,harvest_styleA.csv
2024-01-07,REC-0027,FARM-B,農場B,ほうれん草,309.3,75.2,14.6,INS-04,0.24312964759133526,0.047203362431296476,要改善,harvest_styleA.csv
2024-01-07,REC-0028,FARM-A,農場A,トマト,346.5,122.8,14.2,INS-01,0.3544011544011544,0.04098124098124098,要改善,harvest_styleA.csv
2024-01-04,REC-0029,FARM-A,農場A,レタス,377.7,302.4,4.1,INS-02,0.8006354249404288,0.010855176065660577,優良,harvest_styleA.csv
2024-01-07,REC-0030,FARM-D,農場D,キュウリ,239.8,66.8,6.0,INS-01,0.27856547122602165,0.0250208507089241,要改善,harvest_styleA.csv
2024-01-15,REC-0031,FARM-A,農場A,トマト,343.5,185.7,0.5,INS-01,0.5406113537117904,0.001455604075691412,要改善,harvest_styleA.csv
2024-01-08,REC-0032,FARM-B,農場B,レタス,268.5,57.4,10.8,INS-01,0.213780260707635,0.04022346368715084,要改善,harvest_styleA.csv
2024-01-06,REC-0033,FARM-D,農場D,トマト,493.4,130.9,38.7,INS-04,0.26530198621807866,0.07843534657478721,要改善,harvest_styleA.csv
2024-01-10,REC-0034,FARM-D,農場D,ほうれん草,347.8,169.3,6.6,INS-02,0.48677400805060383,0.018976423231742378,要改善,harvest_styleA.csv
2024-01-02,REC-0035,FARM-A,農場A,ピーマン,75.7,44.2,3.8,INS-05,0.583883751651255,0.050198150594451776,要改善,harvest_styleA.csv
2024-01-06,REC-0036,FARM-A,農場A,ほうれん草,86.1,16.0,5.1,INS-02,0.18583042973286876,0.059233449477351915,要改善,harvest_styleA.csv
2024-01-13,REC-0037,FARM-A,農場A,ほうれん草,160.8,95.6,10.0,INS-04,0.5945273631840795,0.062189054726368154,要改善,harvest_styleA.csv
2024-01-19,REC-0038,FARM-C,農場C,ピーマン,141.9,101.6,3.4,INS-04,0.7159971811134601,0.023960535588442564,合格,harvest_styleA.csv
2024-01-05,REC-0039,FARM-C,農場C,レタス,192.3,144.6,1.4,INS-04,0.7519500780031201,0.007280291211648465,合格,harvest_styleA.csv
2024-01-20,REC-0040,FARM-A,農場A,トマト,291.9,147.7,3.9,INS-03,0.5059952038369304,0.013360739979445016,要改善,harvest_styleA.csv
2024-01-03,REC-0041,FARM-B,農場B,ピーマン,178.2,78.1,9.7,INS-03,0.4382716049382716,0.05443322109988777,要改善,harvest_styleA.csv
2024-01-20,REC-0042,FARM-A,農場A,ほうれん草,184.7,122.5,17.3,INS-02,0.6632376827287494,0.09366540335679481,合格,harvest_styleA.csv
2024-01-09,REC-0043,FARM-A,農場A,トマト,384.1,59.7,10.8,INS-02,0.15542827388700858,0.02811767768810206,要改善,harvest_styleA.csv
2024-01-11,REC-0044,FARM-B,農場B,ピーマン,277.4,69.7,25.2,INS-01,0.2512617159336698,0.09084354722422495,要改善,harvest_styleA.csv
2024-01-03,REC-0045,FARM-D,農場D,ピーマン,69.8,23.3,0.9,INS-03,0.333810888252149,0.012893982808022923,要改善,harvest_styleA.csv
2024-01-06,REC-0046,FARM-D,農場D,ほうれん草,367.6,206.2,4.1,INS-02,0.5609357997823721,0.011153427638737758,要改善,harvest_styleA.csv
2024-01-18,REC-0047,FARM-A,農場A,ピーマン,312.1,46.2,4.0,INS-03,0.1480294777314963,0.012816404998397948,要改善,harvest_styleA.csv
2024-01-12,REC-0048,FARM-A,農場A,ピーマン,144.5,36.1,1.5,INS-05,0.24982698961937716,0.010380622837370242,要改善,harvest_styleA.csv
2024-01-14,REC-0049,FARM-B,農場B,キュウリ,439.1,428.7,35.6,INS-04,0.9763151901616943,0.08107492598496925,優良,harvest_styleA.csv
2024-01-01,REC-0050,FARM-B,農場B,ピーマン,402.1,165.5,26.9,INS-02,0.41158915692613773,0.06689878139766227,要改善,harvest_styleA.csv
2024-01-09,REC-0051,FARM-B,農場B,トマト,222.1,8.6,10.5,INS-02,0.03872129671319226,0.04727600180099054,要改善,harvest_styleA.csv
2024-01-15,REC-0052,FARM-C,農場C,ピーマン,419.2,365.3,9.3,INS-02,0.8714217557251909,0.022185114503816796,優良,harvest_styleA.csv
2024-01-13,REC-0053,FARM-C,農場C,ピーマン,439.0,424.5,12.3,INS-05,0.9669703872437357,0.02801822323462415,優良,harvest_styleA.csv
2024-01-13,REC-0054,FARM-C,農場C,トマト,101.9,98.9,1.8,INS-03,0.9705593719332679,0.017664376840039252,優良,harvest_styleA.csv
2024-01-02,REC-0055,FARM-A,農場A,ほうれん草,245.6,178.9,7.7,INS-05,0.7284201954397395,0.031351791530944625,合格,harvest_styleA.csv
2024-01-17,REC-0056,FARM-A,農場A,レタス,454.8,86.4,2.0,INS-04,0.1899736147757256,0.004397537379067722,要改善,harvest_styleA.csv
2024-01-01,REC-0057,FARM-B,農場B,ピーマン,244.1,231.6,22.5,INS-05,0.9487914789020893,0.09217533797623925,優良,harvest_styleA.csv
2024-01-11,REC-0058,FARM-A,農場A,ピーマン,278.2,185.5,9.1,INS-03,0.6667864845434939,0.03271028037383177,合格,harvest_styleA.csv
2024-01-18,REC-0059,FARM-B,農場B,キュウリ,239.2,224.9,16.2,INS-02,0.9402173913043479,0.0677257525083612,優良,harvest_styleA.csv
2024-01-20,REC-0060,FARM-C,農場C,レタス,296.6,0.1,8.5,INS-04,0.00033715441672285906,0.02865812542144302,要改善,harvest_styleA.csv
2024-01-19,REC-0061,FARM-C,農場C,レタス,248.8,168.1,12.7,INS-02,0.6756430868167203,0.051045016077170415,合格,harvest_styleA.csv
2024-01-03,REC-0062,FARM-C,農場C,ほうれん草,348.7,215.9,3.3,INS-02,0.6191568683682249,0.00946372239747634,合格,harvest_styleA.csv
2024-01-10,REC-0063,FARM-B,農場B,キュウリ,116.3,5.4,11.4,INS-05,0.046431642304385214,0.09802235597592433,要改善,harvest_styleA.csv
2024-01-03,REC-0064,FARM-D,農場D,レタス,448.8,258.4,32.2,INS-04,0.5757575757575757,0.07174688057040998,要改善,harvest_styleA.csv
2024-01-16,REC-0065,FARM-D,農場D,キュウリ,116.4,80.0,10.4,INS-01,0.6872852233676976,0.08934707903780069,合格,harvest_styleA.csv
2024-01-14,REC-0066,FARM-B,農場B,キュウリ,411.8,286.6,19.1,INS-05,0.6959689169499758,0.046381738708110735,合格,harvest_styleA.csv
2024-01-08,REC-0067,FARM-A,農場A,レタス,110.0,51.1,5.8,INS-05,0.46454545454545454,0.05272727272727273,要改善,harvest_styleA.csv
2024-01-20,REC-0068,FARM-C,農場C,レタス,325.7,234.3,16.4,INS-05,0.7193736567393307,0.05035308566165182,合格,harvest_styleA.csv
2024-01-15,REC-0069,FARM-B,農場B,レタス,252.5,189.8,21.2,INS-03,0.7516831683168317,0.08396039603960395,合格,harvest_styleA.csv
2024-01-17,REC-0070,FARM-D,農場D,キュウリ,173.6,13.5,5.0,INS-03,0.07776497695852534,0.02880184331797235,要改善,harvest_styleA.csv
2024-01-11,REC-0071,FARM-C,農場C,ほうれん草,86.3,13.0,3.3,INS-02,0.15063731170336037,0.038238702201622246,要改善,harvest_styleA.csv
2024-01-07,REC-0072,FARM-A,農場A,レタス,233.4,126.6,9.7,INS-02,0.5424164524421593,0.04155955441302485,要改善,harvest_styleA.csv
2024-01-14,REC-0073,FARM-D,農場D,ほうれん草,475.7,9.3,41.9,INS-05,0.019550136640739964,0.08808072314483918,要改善,harvest_styleA.csv
2024-01-13,REC-0074,FARM-D,農場D,トマト,474.2,141.6,18.5,INS-04,0.2986081822016027,0.03901307465204555,要改善,harvest_styleA.csv
2024-01-18,REC-0075,FARM-B,農場B,レタス,148.7,64.8,0.4,INS-03,0.4357767316745125,0.0026899798251513118,要改善,harvest_styleA.csv
2024-01-13,REC-0076,FARM-B,農場B,レタス,463.8,454.9,24.8,INS-04,0.9808106942647692,0.053471323846485556,優良,harvest_styleA.csv
2024-01-19,REC-0077,FARM-A,農場A,トマト,339.2,46.0,15.7,INS-01,0.13561320754716982,0.046285377358490566,要改善,harvest_styleA.csv
2024-01-09,REC-0078,FARM-D,農場D,ピーマン,145.2,47.5,11.1,INS-04,0.3271349862258953,0.07644628099173555,要改善,harvest_styleA.csv
2024-01-09,REC-0079,FARM-D,農場D,ピーマン,425.7,200.2,31.9,INS-01,0.4702842377260982,0.07493540051679587,要改善,harvest_styleA.csv
2024-01-12,REC-0080,FARM-B,農場B,トマト,401.6,261.7,30.3,INS-02,0.6516434262948206,0.07544820717131474,合格,harvest_styleA.csv
2024-01-07,REC-0081,FARM-A,農場A,ほうれん草,118.6,15.0,7.9,INS-05,0.12647554806070826,0.06661045531197303,要改善,harvest_styleA.csv
2024-01-07,REC-0082,FARM-D,農場D,ピーマン,395.1,66.3,24.0,INS-01,0.16780561883067577,0.060744115413819286,要改善,harvest_styleA.csv
2024-01-06,REC-0083,FARM-C,農場C,トマト,310.4,288.3,17.9,INS-04,0.9288015463917527,0.05766752577319587,優良,harvest_styleA.csv
2024-01-13,REC-0084,FARM-B,農場B,トマト,316.4,262.8,7.7,INS-03,0.8305941845764856,0.02433628318584071,優良,harvest_styleA.csv
2024-01-20,REC-0085,FARM-A,農場A,ほうれん草,402.2,139.6,17.2,INS-03,0.347090999502735,0.04276479363500746,要改善,harvest_styleA.csv
2024-01-03,REC-0086,FARM-C,農場C,トマト,432.3,355.5,4.6,INS-03,0.8223455933379598,0.010640758732361784,優良,harvest_styleA.csv
2024-01-15,REC-0087,FARM-B,農場B,レタス,129.3,67.5,8.4,INS-05,0.5220417633410672,0.06496519721577726,要改善,harvest_styleA.csv
2024-01-18,REC-0088,FARM-D,農場D,レタス,246.0,179.8,6.6,INS-02,0.7308943089430895,0.026829268292682926,合格,harvest_styleA.csv
2024-01-03,REC-0089,FARM-C,農場C,レタス,159.7,74.2,9.7,INS-04,0.4646211646837821,0.06073888541014402,要改善,harvest_styleA.csv
2024-01-11,REC-0090,FARM-A,農場A,レタス,432.9,78.7,9.2,INS-03,0.18179718179718182,0.02125202125202125,要改善,harvest_styleA.csv
2024-01-11,REC-0091,FARM-C,農場C,ほうれん草,365.5,101.0,0.4,INS-02,0.2763337893296854,0.001094391244870041,要改善,harvest_styleA.csv
2024-01-03,REC-0092,FARM-B,農場B,レタス,269.9,204.6,18.6,INS-04,0.7580585402000741,0.0689144127454613,合格,harvest_styleA.csv
2024-01-15,REC-0093,FARM-A,農場A,トマト,182.4,73.8,4.4,INS-05,0.4046052631578947,0.024122807017543862,要改善,harvest_styleA.csv
2024-01-12,REC-0094,FARM-D,農場D,ほうれん草,288.9,122.9,21.6,INS-03,0.4254067151263414,0.07476635514018692,要改善,harvest_styleA.csv
2024-01-12,REC-0095,FARM-D,農場D,ピーマン,188.0,43.3,13.6,INS-03,0.2303191489361702,0.07234042553191489,要改善,harvest_styleA.csv
2024-01-04,REC-0096,FARM-B,農場B,キュウリ,147.4,71.4,10.7,INS-05,0.4843962008141113,0.07259158751696064,要改善,harvest_styleA.csv
2024-01-20,REC-0097,FARM-C,農場C,トマト,424.7,125.8,15.3,INS-03,0.2962090887685425,0.03602542971509301,要改善,harvest_styleA.csv
2024-01-01,REC-0098,FARM-B,農場B,ピーマン,70.5,3.8,2.1,INS-02,0.05390070921985815,0.029787234042553193,要改善,harvest_styleA.csv
2024-01-16,REC-0099,FARM-A,農場A,トマト,308.3,144.7,13.6,INS-02,0.4693480376256892,0.04411287706779111,要改善,harvest_styleA.csv
2024-01-02,REC-0100,FARM-C,農場C,レタス,101.3,6.6,5.0,INS-05,0.06515301085883514,0.049358341559723594,要改善,harvest_styleA.csv
2024-01-02,REC-0101,FARM-B,農場B,キュウリ,415.0,393.9,3.5,INS-02,0.9491566265060241,0.008433734939759036,優良,harvest_styleA.csv
2024-01-04,REC-0102,FARM-D,農場D,ほうれん草,318.3,196.8,24.7,INS-04,0.6182846371347785,0.07759974866478164,合格,harvest_styleA.csv
2024-01-15,REC-0103,FARM-D,農場D,ピーマン,437.1,432.7,13.3,INS-05,0.9899336536261725,0.030427819720887667,優良,harvest_styleA.csv
2024-01-02,REC-0104,FARM-A,農場A,キュウリ,331.5,87.7,2.7,INS-02,0.2645550527903469,0.008144796380090498,要改善,harvest_styleA.csv
2024-01-06,REC-0105,FARM-A,農場A,キュウリ,51.2,23.1,3.0,INS-03,0.451171875,0.05859375,要改善,harvest_styleA.csv
2024-01-02,REC-0106,FARM-B,農場B,ピーマン,368.1,258.8,16.7,INS-02,0.7030698179842434,0.04536810649280087,合格,harvest_styleA.csv
2024-01-09,REC-0107,FARM-B,農場B,レタス,101.6,22.8,1.5,INS-03,0.22440944881889766,0.014763779527559057,要改善,harvest_styleA.csv
2024-01-05,REC-0108,FARM-A,農場A,トマト,124.7,38.4,9.3,INS-05,0.3079390537289495,0.07457898957497995,要改善,harvest_styleA.csv
2024-01-10,REC-0109,FARM-D,農場D,トマト,260.9,79.3,10.5,INS-03,0.3039478727481794,0.04024530471444998,要改善,harvest_styleA.csv
2024-01-17,REC-0110,FARM-D,農場D,レタス,86.2,3.4,3.7,INS-03,0.03944315545243619,0.042923433874709975,要改善,harvest_styleA.csv
2024-01-20,REC-0111,FARM-C,農場C,トマト,91.1,87.6,7.6,INS-05,0.9615806805708013,0.08342480790340286,優良,harvest_styleA.csv
2024-01-19,REC-0112,FARM-A,農場A,ピーマン,309.3,236.0,5.4,INS-05,0.7630132557387649,0.01745877788554801,合格,harvest_styleA.csv
2024-01-15,REC-0113,FARM-C,農場C,キュウリ,498.6,217.3,40.6,INS-01,0.43582029683112716,0.08142799839550742,要改善,harvest_styleA.csv
2024-01-16,REC-0114,FARM-C,農場C,レタス,200.0,134.0,17.2,INS-03,0.67,0.086,合格,harvest_styleA.csv
2024-01-14,REC-0115,FARM-D,農場D,ピーマン,348.2,139.4,26.5,INS-01,0.4003446295232625,0.07610568638713383,要改善,harvest_styleA.csv
2024-01-15,REC-0116,FARM-A,農場A,ピーマン,163.6,19.0,12.6,INS-05,0.11613691931540343,0.07701711491442542,要改善,harvest_styleA.csv
2024-01-01,REC-0117,FARM-D,農場D,レタス,74.4,38.6,4.6,INS-04,0.5188172043010753,0.061827956989247305,要改善,harvest_styleA.csv
2024-01-15,REC-0118,FARM-A,農場A,キュウリ,170.2,22.3,4.9,INS-04,0.1310223266745006,0.02878965922444184,要改善,harvest_styleA.csv
