申込日,申込番号,学科,選考方法,地域,合否,点数,面接フラグ,辞退理由
2024/01/04,APP-0001,文系,AO,名古屋,合格,58,0,
2024/01/18,APP-0002,文系,AO,福岡,合格,55,1,
2024/01/17,APP-0003,文系,AO,大阪,不合格,94,1,成績不足
2024/01/15,APP-0004,芸術系,一般,大阪,不合格,71,1,成績不足
2024/01/11,APP-0005,文系,一般,福岡,合格,72,0,
2024/01/02,APP-0006,体育系,AO,東京,不合格,74,1,面接低評価
2024/01/20,APP-0007,芸術系,AO,大阪,不合格,52,0,面接低評価
2024/01/03,APP-0008,理系,一般,福岡,合格,90,0,
2024/01/06,APP-0009,芸術系,推薦,大阪,不合格,94,0,書類不備
2024/01/03,APP-0010,理系,AO,大阪,合格,74,1,
2024/01/18,APP-0011,理系,AO,名古屋,不合格,99,1,成績不足
2024/01/11,APP-0012,体育系,推薦,東京,合格,86,0,
2024/01/11,APP-0013,理系,AO,福岡,合格,91,1,
2024/01/09,APP-0014,理系,一般,仙台,合格,97,1,
2024/01/19,APP-0015,体育系,推薦,大阪,不合格,58,1,成績不足
2024/01/02,APP-0016,文系,一般,大阪,不合格,77,1,面接低評価
2024/01/13,APP-0017,体育系,AO,名古屋,不合格,50,0,成績不足
2024/01/18,APP-0018,芸術系,AO,名古屋,合格,77,1,
2024/01/01,APP-0019,芸術系,AO,大阪,合格,56,0,
2024/01/10,APP-0020,理系,一般,名古屋,不合格,84,0,書類不備
2024/01/01,APP-0021,芸術系,推薦,東京,合格,73,0,
2024/01/10,APP-0022,理系,一般,大阪,不合格,55,1,面接低評価
2024/01/03,APP-0023,理系,一般,福岡,不合格,60,1,書類不備
2024/01/14,APP-0024,理系,AO,大阪,不合格,75,0,書類不備
2024/01/12,APP-0025,体育系,AO,福岡,合格,64,1,
2024/01/01,APP-0026,理系,AO,大阪,合格,95,0,
2024/01/08,APP-0027,文系,一般,名古屋,合格,65,1,
2024/01/16,APP-0028,理系,AO,大阪,不合格,86,1,成績不足
2024/01/16,APP-0029,体育系,一般,東京,合格,77,1,
2024/01/14,APP-0030,体育系,AO,東京,不合格,91,1,面接低評価
2024/01/11,APP-0031,文系,一般,大阪,合格,78,1,
2024/01/06,APP-0032,芸術系,推薦,大阪,不合格,54,1,書類不備
2024/01/04,APP-0033,文系,AO,仙台,不合格,55,0,成績不足
2024/01/06,APP-0034,体育系,推薦,福岡,合格,75,0,
2024/01/06,APP-0035,体育系,一般,福岡,合格,100,0,
2024/01/10,APP-0036,体育系,AO,仙台,不合格,81,1,面接低評価
2024/01/07,APP-0037,文系,AO,仙台,合格,70,1,
2024/01/19,APP-0038,体育系,AO,仙台,合格,82,1,
2024/01/06,APP-0039,文系,AO,東京,不合格,65,1,書類不備
2024/01/08,APP-0040,文系,AO,東京,合格,87,1,
2024/01/11,APP-0041,芸術系,一般,名古屋,合格,75,1,
2024/01/10,APP-0042,体育系,推薦,東京,合格,89,0,
2024/01/04,APP-0043,文系,AO,大阪,合格,58,0,
2024/01/03,APP-0044,理系,推薦,名古屋,合格,84,0,
2024/01/20,APP-0045,文系,AO,仙台,合格,92,1,
2024/01/05,APP-0046,芸術系,一般,東京,不合格,59,1,書類不備
2024/01/07,APP-0047,芸術系,一般,名古屋,合格,66,0,
2024/01/02,APP-0048,文系,AO,福岡,不合格,52,1,成績不足
2024/01/09,APP-0049,理系,AO,福岡,不合格,77,1,成績不足
2024/01/03,APP-0050,理系,AO,東京,不合格,87,1,面接低評価
2024/01/05,APP-0051,文系,推薦,名古屋,不合格,100,0,成績不足
2024/01/12,APP-0052,理系,AO,大阪,不合格,72,0,面接低評価
2024/01/20,APP-0053,理系,一般,大阪,不合格,61,0,成績不足
2024/01/06,APP-0054,芸術系,推薦,大阪,合格,100,0,
2024/01/13,APP-0055,文系,推薦,大阪,合格,79,1,
2024/01/08,APP-0056,理系,一般,大阪,合格,67,0,
2024/01/09,APP-0057,芸術系,AO,仙台,合格,84,1,
2024/01/01,APP-0058,文系,推薦,大阪,不合格,66,1,書類不備
2024/01/14,APP-0059,芸術系,AO,名古屋,合格,82,1,
2024/01/19,APP-0060,理系,推薦,東京,不合格,50,1,書類不備
2024/01/07,APP-0061,芸術系,推薦,東京,不合格,71,0,書類不備
2024/01/04,APP-0062,芸術系,AO,名古屋,不合格,70,1,面接低評価
2024/01/18,APP-0063,理系,一般,福岡,不合格,74,0,成績不足
2024/01/20,APP-0064,芸術系,推薦,仙台,不合格,69,1,面接低評価
2024/01/19,APP-0065,芸術系,推薦,福岡,合格,63,1,
2024/01/06,APP-0066,文系,推薦,仙台,不合格,89,1,成績不足
2024/01/10,APP-0067,理系,一般,大阪,合格,65,0,
2024/01/20,APP-0068,文系,推薦,福岡,不合格,86,1,書類不備
2024/01/13,APP-0069,体育系,推薦,大阪,合格,94,1,
2024/01/04,APP-0070,体育系,一般,大阪,不合格,94,1,成績不足
2024/01/18,APP-0071,理系,一般,福岡,合格,79,0,
2024/01/18,APP-0072,芸術系,推薦,仙台,不合格,82,1,書類不備
2024/01/15,APP-0073,理系,AO,福岡,合格,98,1,
2024/01/09,APP-0074,体育系,AO,大阪,合格,54,0,
2024/01/08,APP-0075,芸術系,推薦,名古屋,不合格,55,1,成績不足
2024/01/13,APP-0076,理系,AO,大阪,合格,76,1,
2024/01/15,APP-0077,体育系,一般,大阪,不合格,74,0,書類不備
2024/01/01,APP-0078,体育系,推薦,東京,不合格,69,0,面接低評価
2024/01/18,APP-0079,理系,推薦,大阪,合格,81,1,
2024/01/11,APP-0080,体育系,AO,大阪,不合格,58,0,書類不備
2024/01/01,APP-0081,体育系,AO,仙台,不合格,55,0,成績不足
2024/01/15,APP-0082,理系,一般,名古屋,合格,63,1,
2024/01/11,APP-0083,体育系,推薦,福岡,合格,55,1,
2024/01/18,APP-0084,文系,推薦,大阪,不合格,99,0,成績不足
2024/01/01,APP-0085,理系,一般,東京,不合格,65,1,書類不備
2024/01/04,APP-0086,理系,推薦,名古屋,不合格,60,0,書類不備
2024/01/04,APP-0087,理系,推薦,東京,不合格,69,1,面接低評価
2024/01/13,APP-0088,理系,一般,仙台,不合格,90,1,書類不備
2024/01/10,APP-0089,文系,AO,東京,合格,77,0,
2024/01/03,APP-0090,芸術系,一般,福岡,不合格,56,1,面接低評価
2024/01/15,APP-0091,理系,推薦,大阪,不合格,91,1,書類不備
2024/01/16,APP-0092,体育系,推薦,仙台,合格,65,0,
2024/01/03,APP-0093,芸術系,推薦,大阪,不合格,86,0,面接低評価
2024/01/11,APP-0094,文系,推薦,名古屋,合格,63,1,
2024/01/09,APP-0095,芸術系,推薦,仙台,不合格,67,1,書類不備
2024/01/07,APP-0096,文系,一般,福岡,合格,98,1,
2024/01/16,APP-0097,体育系,推薦,東京,合格,64,1,
2024/01/08,APP-0098,芸術系,AO,仙台,合格,85,1,
2024/01/14,APP-0099,芸術系,推薦,福岡,合格,66,1,
2024/01/07,APP-0100,芸術系,一般,仙台,不合格,94,1,成績不足
2024/01/16,APP-0101,芸術系,AO,仙台,不合格,83,1,成績不足
2024/01/07,APP-0102,芸術系,一般,名古屋,合格,50,0,
2024/01/05,APP-0103,芸術系,一般,東京,不合格,94,0,書類不備
2024/01/16,APP-0104,文系,一般,仙台,合格,80,1,
2024/01/06,APP-0105,文系,推薦,福岡,合格,54,1,
2024/01/03,APP-0106,文系,一般,大阪,不合格,69,1,成績不足
2024/01/04,APP-0107,体育系,AO,仙台,不合格,64,0,面接低評価
2024/01/15,APP-0108,体育系,推薦,仙台,不合格,69,1,成績不足
2024/01/20,APP-0109,文系,一般,大阪,合格,55,1,
2024/01/06,APP-0110,文系,一般,東京,合格,94,1,
2024/01/10,APP-0111,文系,一般,名古屋,不合格,94,0,成績不足
2024/01/08,APP-0112,芸術系,AO,仙台,不合格,62,1,書類不備
2024/01/08,APP-0113,理系,推薦,大阪,合格,60,0,
2024/01/20,APP-0114,芸術系,推薦,東京,合格,69,0,
2024/01/09,APP-0115,体育系,推薦,東京,不合格,77,0,書類不備
2024/01/09,APP-0116,文系,一般,大阪,不合格,86,1,成績不足
2024/01/09,APP-0117,文系,一般,福岡,合格,78,0,
2024/01/06,APP-0118,体育系,AO,福岡,不合格,80,1,面接低評価
2024/01/11,APP-0119,文系,一般,名古屋,合格,81,1,
2024/01/13,APP-0120,文系,推薦,東京,合格,70,1,
2024/01/13,APP-0121,文系,AO,仙台,合格,53,1,
2024/01/12,APP-0122,体育系,AO,福岡,不合格,63,1,成績不足
2024/01/10,APP-0123,体育系,AO,福岡,合格,90,0,
2024/01/08,APP-0124,理系,推薦,仙台,合格,76,1,
2024/01/04,APP-0125,体育系,一般,大阪,合格,95,1,
2024/01/09,APP-0126,体育系,推薦,福岡,合格,85,1,
2024/01/07,APP-0127,理系,一般,名古屋,不合格,76,1,書類不備
2024/01/09,APP-0128,文系,推薦,名古屋,不合格,87,0,面接低評価
2024/01/05,APP-0129,体育系,AO,福岡,合格,85,0,
2024/01/13,APP-0130,体育系,推薦,大阪,不合格,65,1,成績不足
2024/01/14,APP-0131,文系,推薦,福岡,不合格,74,1,書類不備
2024/01/05,APP-0132,体育系,一般,大阪,合格,87,1,
2024/01/04,APP-0133,体育系,一般,仙台,不合格,50,0,面接低評価
2024/01/05,APP-0134,文系,推薦,名古屋,合格,94,1,
2024/01/03,APP-0135,芸術系,AO,仙台,合格,70,0,
2024/01/16,APP-0136,文系,AO,東京,合格,93,0,
2024/01/08,APP-0137,文系,推薦,東京,不合格,95,0,面接低評価
2024/01/06,APP-0138,芸術系,一般,東京,合格,53,1,
2024/01/12,APP-0139,体育系,一般,大阪,合格,86,0,
2024/01/06,APP-0140,理系,一般,東京,不合格,74,0,成績不足
2024/01/16,APP-0141,理系,一般,福岡,不合格,79,1,成績不足
2024/01/15,APP-0142,芸術系,AO,仙台,合格,78,0,
2024/01/19,APP-0143,芸術系,AO,福岡,不合格,79,0,成績不足
2024/01/13,APP-0144,体育系,一般,大阪,合格,72,1,
2024/01/10,APP-0145,文系,AO,福岡,合格,86,0,
2024/01/02,APP-0146,体育系,推薦,大阪,不合格,72,1,成績不足
2024/01/20,APP-0147,芸術系,AO,大阪,不合格,90,0,面接低評価
2024/01/15,APP-0148,文系,AO,名古屋,不合格,55,0,面接低評価
2024/01/14,APP-0149,理系,一般,大阪,不合格,73,1,面接低評価
2024/01/06,APP-0150,芸術系,推薦,名古屋,不合格,71,0,面接低評価
2024/01/03,APP-0151,理系,一般,福岡,不合格,85,1,面接低評価
2024/01/01,APP-0152,芸術系,AO,東京,合格,93,0,
2024/01/09,APP-0153,体育系,AO,名古屋,合格,64,1,
2024/01/20,APP-0154,芸術系,AO,大阪,不合格,90,0,書類不備
2024/01/10,APP-0155,体育系,一般,大阪,合格,52,1,
2024/01/16,APP-0156,文系,一般,大阪,不合格,58,1,面接低評価
2024/01/18,APP-0157,体育系,AO,大阪,不合格,91,1,面接低評価
2024/01/20,APP-0158,体育系,推薦,東京,不合格,63,1,成績不足
2024/01/12,APP-0159,文系,AO,名古屋,合格,91,1,
2024/01/13,APP-0160,芸術系,一般,東京,不合格,79,1,成績不足
