ApplicationDate,AppID,Department,SelectionMethod,Region,Result,Score,InterviewFlag,DeclineReason
2024-01-20,APP-0161,文系,一般,名古屋,Pass,58,0,
2024-01-07,APP-0162,文系,AO,大阪,Fail,64,1,成績不足
2024-01-20,APP-0163,文系,推薦,大阪,Fail,84,1,成績不足
2024-01-04,APP-0164,文系,一般,東京,Pass,100,1,
2024-01-11,APP-0165,文系,一般,名古屋,Pass,97,1,
2024-01-04,APP-0166,文系,推薦,福岡,Fail,82,1,面接低評価
2024-01-17,APP-0167,理系,AO,東京,Fail,92,1,面接低評価
2024-01-01,APP-0168,文系,推薦,福岡,Pass,56,1,
2024-01-15,APP-0169,文系,一般,名古屋,Fail,54,1,書類不備
2024-01-19,APP-0170,芸術系,推薦,仙台,Pass,79,1,
2024-01-14,APP-0171,文系,AO,東京,Fail,91,0,書類不備
2024-01-07,APP-0172,体育系,推薦,大阪,Pass,79,1,
2024-01-04,APP-0173,芸術系,推薦,名古屋,Fail,73,0,書類不備
2024-01-16,APP-0174,文系,一般,東京,Pass,56,0,
2024-01-12,APP-0175,理系,AO,東京,Fail,85,1,書類不備
2024-01-04,APP-0176,体育系,推薦,福岡,Fail,96,1,面接低評価
2024-01-20,APP-0177,芸術系,推薦,東京,Fail,63,1,面接低評価
2024-01-08,APP-0178,文系,推薦,仙台,Pass,98,1,
2024-01-08,APP-0179,体育系,AO,仙台,Fail,91,1,書類不備
2024-01-09,APP-0180,文系,一般,名古屋,Fail,69,0,面接低評価
2024-01-01,APP-0181,理系,一般,仙台,Fail,54,1,書類不備
2024-01-01,APP-0182,文系,AO,仙台,Pass,76,1,
2024-01-06,APP-0183,芸術系,推薦,名古屋,Fail,86,1,成績不足
2024-01-05,APP-0184,理系,AO,東京,Fail,67,1,面接低評価
2024-01-16,APP-0185,体育系,推薦,名古屋,Pass,82,1,
2024-01-14,APP-0186,文系,推薦,仙台,Pass,92,1,
2024-01-08,APP-0187,体育系,AO,東京,Pass,69,0,
2024-01-05,APP-0188,芸術系,推薦,名古屋,Pass,81,0,
2024-01-06,APP-0189,理系,推薦,仙台,Fail,82,1,書類不備
2024-01-12,APP-0190,文系,推薦,東京,Pass,79,0,
2024-01-11,APP-0191,体育系,AO,福岡,Fail,76,1,面接低評価
2024-01-01,APP-0192,芸術系,一般,仙台,Pass,94,0,
2024-01-03,APP-0193,体育系,一般,大阪,Pass,75,1,
2024-01-13,APP-0194,芸術系,AO,名古屋,Pass,99,1,
2024-01-17,APP-0195,文系,AO,仙台,Pass,99,1,
2024-01-05,APP-0196,理系,一般,大阪,Pass,61,0,
2024-01-03,APP-0197,理系,AO,福岡,Pass,86,0,
2024-01-15,APP-0198,芸術系,AO,名古屋,Pass,54,1,
2024-01-10,APP-0199,芸術系,AO,東京,Pass,54,1,
2024-01-15,APP-0200,文系,一般,名古屋,Fail,54,0,成績不足
2024-01-20,APP-0201,体育系,推薦,仙台,Fail,100,0,成績不足
2024-01-15,APP-0202,理系,推薦,仙台,Pass,59,0,
2024-01-15,APP-0203,文系,推薦,東京,Pass,61,1,
2024-01-15,APP-0204,体育系,AO,仙台,Fail,73,1,面接低評価
2024-01-13,APP-0205,体育系,推薦,仙台,Pass,90,0,
2024-01-03,APP-0206,芸術系,一般,仙台,Fail,68,1,書類不備
2024-01-20,APP-0207,理系,推薦,東京,Fail,59,0,面接低評価
2024-01-13,APP-0208,理系,AO,東京,Pass,74,0,
2024-01-11,APP-0209,理系,AO,仙台,Pass,92,1,
2024-01-12,APP-0210,文系,推薦,名古屋,Pass,63,1,
2024-01-16,APP-0211,理系,一般,大阪,Pass,68,0,
2024-01-04,APP-0212,文系,AO,名古屋,Fail,89,1,面接低評価
2024-01-05,APP-0213,理系,一般,仙台,Fail,60,0,成績不足
2024-01-14,APP-0214,芸術系,AO,大阪,Fail,89,1,書類不備
2024-01-15,APP-0215,理系,AO,大阪,Pass,100,1,
2024-01-07,APP-0216,芸術系,AO,仙台,Fail,79,0,面接低評価
2024-01-17,APP-0217,体育系,一般,大阪,Fail,58,0,成績不足
2024-01-16,APP-0218,芸術系,AO,東京,Fail,83,0,面接低評価
2024-01-03,APP-0219,理系,推薦,福岡,Fail,59,0,成績不足
2024-01-08,APP-0220,体育系,推薦,東京,Pass,75,1,
2024-01-08,APP-0221,体育系,一般,名古屋,Pass,70,0,
2024-01-11,APP-0222,理系,一般,東京,Pass,80,0,
2024-01-05,APP-0223,体育系,推薦,仙台,Pass,55,1,
2024-01-07,APP-0224,理系,AO,仙台,Pass,57,0,
2024-01-08,APP-0225,芸術系,一般,東京,Pass,90,0,
2024-01-15,APP-0226,文系,一般,福岡,Fail,51,0,書類不備
2024-01-08,APP-0227,理系,推薦,福岡,Pass,72,1,
2024-01-14,APP-0228,理系,AO,東京,Pass,73,1,
2024-01-17,APP-0229,文系,推薦,福岡,Pass,74,0,
2024-01-09,APP-0230,文系,推薦,東京,Pass,96,0,
2024-01-04,APP-0231,芸術系,一般,東京,Pass,71,0,
2024-01-06,APP-0232,体育系,AO,福岡,Fail,58,1,面接低評価
2024-01-02,APP-0233,芸術系,一般,東京,Fail,52,1,面接低評価
2024-01-17,APP-0234,体育系,AO,福岡,Pass,98,0,
2024-01-10,APP-0235,芸術系,一般,名古屋,Pass,73,1,
2024-01-13,APP-0236,体育系,推薦,名古屋,Fail,81,0,面接低評価
2024-01-17,APP-0237,芸術系,一般,福岡,Pass,88,0,
2024-01-06,APP-0238,芸術系,推薦,東京,Pass,92,1,
2024-01-15,APP-0239,体育系,一般,福岡,Pass,52,0,
2024-01-12,APP-0240,体育系,推薦,東京,Pass,90,1,
2024-01-17,APP-0241,理系,一般,大阪,Fail,93,0,成績不足
2024-01-05,APP-0242,文系,一般,名古屋,Pass,86,1,
2024-01-05,APP-0243,体育系,推薦,名古屋,Pass,54,1,
2024-01-17,APP-0244,芸術系,推薦,名古屋,Fail,65,0,成績不足
2024-01-06,APP-0245,体育系,AO,福岡,Fail,57,1,面接低評価
2024-01-15,APP-0246,理系,AO,名古屋,Fail,81,1,成績不足
2024-01-03,APP-0247,体育系,一般,福岡,Fail,93,0,面接低評価
2024-01-12,APP-0248,文系,AO,仙台,Pass,69,0,
2024-01-06,APP-0249,芸術系,AO,大阪,Pass,62,0,
2024-01-08,APP-0250,体育系,一般,名古屋,Fail,73,1,書類不備
2024-01-05,APP-0251,文系,一般,名古屋,Pass,95,0,
2024-01-17,APP-0252,体育系,推薦,仙台,Pass,70,0,
2024-01-15,APP-0253,体育系,AO,仙台,Pass,99,1,
2024-01-19,APP-0254,理系,一般,福岡,Pass,53,0,
2024-01-17,APP-0255,理系,推薦,大阪,Pass,95,1,
2024-01-17,APP-0256,芸術系,一般,名古屋,Pass,85,1,
2024-01-10,APP-0257,文系,AO,大阪,Fail,87,1,書類不備
2024-01-20,APP-0258,芸術系,AO,東京,Fail,51,1,書類不備
2024-01-19,APP-0259,芸術系,AO,大阪,Fail,76,0,成績不足
2024-01-16,APP-0260,芸術系,AO,名古屋,Pass,93,1,
2024-01-15,APP-0261,文系,AO,東京,Pass,76,1,
2024-01-07,APP-0262,芸術系,AO,大阪,Pass,95,1,
2024-01-12,APP-0263,体育系,一般,名古屋,Pass,56,1,
2024-01-15,APP-0264,文系,推薦,福岡,Pass,56,1,
2024-01-13,APP-0265,体育系,一般,大阪,Fail,86,0,成績不足
2024-01-06,APP-0266,体育系,AO,福岡,Pass,69,1,
2024-01-03,APP-0267,体育系,AO,福岡,Fail,63,1,成績不足
2024-01-02,APP-0268,芸術系,推薦,仙台,Fail,91,0,面接低評価
2024-01-18,APP-0269,文系,一般,福岡,Pass,66,0,
2024-01-13,APP-0270,芸術系,一般,福岡,Pass,85,1,
2024-01-18,APP-0271,芸術系,一般,福岡,Pass,98,1,
2024-01-20,APP-0272,文系,一般,東京,Pass,100,0,
2024-01-18,APP-0273,芸術系,一般,大阪,Fail,75,1,成績不足
2024-01-02,APP-0274,理系,AO,名古屋,Fail,83,1,書類不備
2024-01-17,APP-0275,理系,推薦,仙台,Pass,75,0,
2024-01-10,APP-0276,芸術系,AO,仙台,Pass,95,1,
2024-01-16,APP-0277,文系,推薦,名古屋,Fail,76,1,書類不備
2024-01-01,APP-0278,体育系,推薦,仙台,Fail,96,1,面接低評価
2024-01-06,APP-0279,体育系,一般,大阪,Pass,94,1,
2024-01-01,APP-0280,体育系,推薦,福岡,Pass,94,1,
2024-01-17,APP-0281,体育系,AO,東京,Fail,83,1,面接低評価
2024-01-16,APP-0282,体育系,推薦,大阪,Pass,84,1,
2024-01-12,APP-0283,芸術系,AO,福岡,Pass,65,1,
2024-01-10,APP-0284,理系,推薦,名古屋,Fail,94,0,面接低評価
2024-01-16,APP-0285,芸術系,AO,名古屋,Pass,86,0,
2024-01-13,APP-0286,体育系,推薦,大阪,Pass,68,0,
2024-01-03,APP-0287,芸術系,推薦,名古屋,Fail,63,1,書類不備
2024-01-09,APP-0288,芸術系,一般,東京,Fail,87,1,成績不足
2024-01-17,APP-0289,理系,AO,大阪,Pass,76,1,
2024-01-16,APP-0290,文系,AO,大阪,Pass,85,0,
2024-01-06,APP-0291,体育系,AO,福岡,Pass,62,0,
2024-01-10,APP-0292,芸術系,推薦,東京,Fail,55,0,成績不足
2024-01-18,APP-0293,文系,一般,福岡,Fail,61,0,成績不足
2024-01-13,APP-0294,体育系,一般,名古屋,Fail,50,1,書類不備
2024-01-04,APP-0295,芸術系,推薦,福岡,Fail,84,1,成績不足
2024-01-17,APP-0296,体育系,推薦,大阪,Fail,71,1,面接低評価
2024-01-09,APP-0297,理系,一般,名古屋,Fail,86,0,成績不足
2024-01-06,APP-0298,体育系,推薦,仙台,Pass,75,0,
2024-01-06,APP-0299,理系,推薦,名古屋,Fail,50,1,成績不足
2024-01-15,APP-0300,芸術系,推薦,名古屋,Fail,86,1,書類不備
2024-01-12,APP-0301,理系,一般,東京,Pass,60,1,
2024-01-17,APP-0302,芸術系,AO,東京,Fail,68,1,成績不足
2024-01-08,APP-0303,理系,推薦,大阪,Pass,88,1,
