受付日,受付番号,専攻,入試区分,出身地域,判定,得点,面接実施,不合格理由
2024/01/09,APP-0321,文系,AO,仙台,不合格,61,0,面接低評価
2024/01/18,APP-0322,体育系,一般,名古屋,不合格,92,1,書類不備
2024/01/11,APP-0323,体育系,推薦,大阪,合格,61,0,
2024/01/16,APP-0324,理系,一般,名古屋,不合格,59,0,成績不足
2024/01/18,APP-0325,体育系,推薦,仙台,合格,74,1,
2024/01/07,APP-0326,芸術系,AO,東京,不合格,73,1,書類不備
2024/01/07,APP-0327,文系,推薦,福岡,不合格,88,1,成績不足
2024/01/07,APP-0328,理系,推薦,大阪,不合格,71,1,成績不足
2024/01/07,APP-0329,理系,AO,東京,不合格,98,1,成績不足
2024/01/20,APP-0330,理系,推薦,大阪,不合格,99,1,面接低評価
2024/01/18,APP-0331,芸術系,推薦,名古屋,合格,81,1,
2024/01/16,APP-0332,芸術系,一般,名古屋,合格,52,1,
2024/01/08,APP-0333,理系,一般,名古屋,不合格,87,1,面接低評価
2024/01/10,APP-0334,理系,一般,名古屋,合格,86,0,
2024/01/16,APP-0335,芸術系,推薦,福岡,不合格,91,0,面接低評価
2024/01/06,APP-0336,芸術系,一般,大阪,不合格,81,1,書類不備
2024/01/02,APP-0337,文系,一般,東京,不合格,76,1,書類不備
2024/01/08,APP-0338,文系,AO,大阪,合格,82,1,
2024/01/02,APP-0339,体育系,AO,福岡,合格,84,1,
2024/01/01,APP-0340,文系,AO,名古屋,合格,68,1,
2024/01/14,APP-0341,理系,一般,東京,合格,65,1,
2024/01/17,APP-0342,芸術系,推薦,名古屋,不合格,55,1,面接低評価
2024/01/15,APP-0343,理系,AO,大阪,合格,55,0,
2024/01/02,APP-0344,文系,推薦,福岡,合格,80,1,
2024/01/01,APP-0345,理系,一般,福岡,不合格,91,0,書類不備
2024/01/04,APP-0346,文系,一般,大阪,不合格,94,0,面接低評価
2024/01/09,APP-0347,文系,一般,名古屋,不合格,86,0,成績不足
2024/01/11,APP-0348,文系,一般,仙台,合格,95,0,
2024/01/03,APP-0349,芸術系,一般,仙台,合格,74,0,
2024/01/18,APP-0350,芸術系,推薦,大阪,不合格,94,0,書類不備
