app_date,app_id,department,selection_method,region,result,score,interview_flag,decline_reason,is_enrolled,score_grade,source_file
2024-01-04,APP-0001,文系,AO,名古屋,合格,58,0,,1,低得点,applications_styleA.csv
2024-01-18,APP-0002,文系,AO,福岡,合格,55,1,,1,低得点,applications_styleA.csv
2024-01-17,APP-0003,文系,AO,大阪,不合格,94,1,成績不足,0,高得点,applications_styleA.csv
2024-01-15,APP-0004,芸術系,一般,大阪,不合格,71,1,成績不足,0,中得点,applications_styleA.csv
2024-01-11,APP-0005,文系,一般,福岡,合格,72,0,,1,中得点,applications_styleA.csv
2024-01-02,APP-0006,体育系,AO,東京,不合格,74,1,面接低評価,0,中得点,applications_styleA.csv
2024-01-20,APP-0007,芸術系,AO,大阪,不合格,52,0,面接低評価,0,低得点,applications_styleA.csv
2024-01-03,APP-0008,理系,一般,福岡,合格,90,0,,1,高得点,applications_styleA.csv
2024-01-06,APP-0009,芸術系,推薦,大阪,不合格,94,0,書類不備,0,高得点,applications_styleA.csv
2024-01-03,APP-0010,理系,AO,大阪,合格,74,1,,1,中得点,applications_styleA.csv
2024-01-18,APP-0011,理系,AO,名古屋,不合格,99,1,成績不足,0,高得点,applications_styleA.csv
2024-01-11,APP-0012,体育系,推薦,東京,合格,86,0,,1,高得点,applications_styleA.csv
2024-01-11,APP-0013,理系,AO,福岡,合格,91,1,,1,高得点,applications_styleA.csv
2024-01-09,APP-0014,理系,一般,仙台,合格,97,1,,1,高得点,applications_styleA.csv
2024-01-19,APP-0015,体育系,推薦,大阪,不合格,58,1,成績不足,0,低得点,applications_styleA.csv
2024-01-02,APP-0016,文系,一般,大阪,不合格,77,1,面接低評価,0,中得点,applications_styleA.csv
2024-01-13,APP-0017,体育系,AO,名古屋,不合格,50,0,成績不足,0,低得点,applications_styleA.csv
2024-01-18,APP-0018,芸術系,AO,名古屋,合格,77,1,,1,中得点,applications_styleA.csv
2024-01-01,APP-0019,芸術系,AO,大阪,合格,56,0,,1,低得点,applications_styleA.csv
2024-01-10,APP-0020,理系,一般,名古屋,不合格,84,0,書類不備,0,高得点,applications_styleA.csv
2024-01-01,APP-0021,芸術系,推薦,東京,合格,73,0,,1,中得点,applications_styleA.csv
2024-01-10,APP-0022,理系,一般,大阪,不合格,55,1,面接低評価,0,低得点,applications_styleA.csv
2024-01-03,APP-0023,理系,一般,福岡,不合格,60,1,書類不備,0,低得点,applications_styleA.csv
2024-01-14,APP-0024,理系,AO,大阪,不合格,75,0,書類不備,0,中得点,applications_styleA.csv
2024-01-12,APP-0025,体育系,AO,福岡,合格,64,1,,1,低得点,applications_styleA.csv
2024-01-01,APP-0026,理系,AO,大阪,合格,95,0,,1,高得点,applications_styleA.csv
2024-01-08,APP-0027,文系,一般,名古屋,合格,65,1,,1,中得点,applications_styleA.csv
2024-01-16,APP-0028,理系,AO,大阪,不合格,86,1,成績不足,0,高得点,applications_styleA.csv
