受付日,依頼番号,店舗名,作業区分,担当技術者,予定日数,実績日数,工賃,部品代,ステータス
2024/01/01,ORD-0001,北店,オイル交換,TECH-01,3,4,34256,9144,完了
2024/01/01,ORD-0002,北店,オイル交換,TECH-10,4,1,8905,6140,完了
2024/01/01,ORD-0003,北店,オイル交換,TECH-09,2,7,33893,29439,完了
2024/01/01,ORD-0004,東店,タイヤ交換,TECH-07,3,5,25379,14110,再入庫
2024/01/01,ORD-0005,西店,オイル交換,TECH-02,4,2,52052,22541,完了
2024/01/01,ORD-0006,東店,一般修理,TECH-09,1,7,15328,36178,完了
2024/01/01,ORD-0007,北店,車検,TECH-10,2,2,11006,43336,完了
2024/01/01,ORD-0008,西店,オイル交換,TECH-04,1,7,41434,29714,完了
2024/01/01,ORD-0009,西店,タイヤ交換,TECH-06,3,4,39993,45994,作業中
2024/01/02,ORD-0010,北店,オイル交換,TECH-10,2,4,26417,30294,完了
2024/01/02,ORD-0011,北店,タイヤ交換,TECH-06,1,4,9207,20673,完了
2024/01/02,ORD-0012,東店,タイヤ交換,TECH-10,3,4,70435,25928,作業中
2024/01/02,ORD-0013,北店,一般修理,TECH-03,3,3,37325,48823,完了
2024/01/02,ORD-0014,西店,一般修理,TECH-10,4,6,33746,9065,完了
2024/01/02,ORD-0015,東店,オイル交換,TECH-02,2,3,60333,39086,完了
2024/01/02,ORD-0016,西店,一般修理,TECH-09,3,1,20014,44676,作業中
2024/01/02,ORD-0017,西店,車検,TECH-02,3,7,25730,29735,完了
2024/01/03,ORD-0018,北店,車検,TECH-09,2,2,44117,41874,完了
2024/01/03,ORD-0019,東店,タイヤ交換,TECH-06,2,1,47487,32021,完了
2024/01/03,ORD-0020,西店,車検,TECH-04,1,4,79364,5161,完了
2024/01/03,ORD-0021,西店,オイル交換,TECH-09,2,3,67296,36031,完了
2024/01/03,ORD-0022,北店,一般修理,TECH-04,5,4,45857,26148,再入庫
2024/01/03,ORD-0023,北店,車検,TECH-08,5,8,20860,16246,完了
2024/01/03,ORD-0024,西店,オイル交換,TECH-10,5,4,33864,471,完了
2024/01/03,ORD-0025,北店,オイル交換,TECH-04,1,1,48309,4643,完了
2024/01/03,ORD-0026,西店,一般修理,TECH-04,5,3,79847,37762,完了
2024/01/04,ORD-0027,西店,一般修理,TECH-04,1,2,61498,23219,完了
2024/01/04,ORD-0028,西店,オイル交換,TECH-02,1,7,49473,7161,完了
2024/01/04,ORD-0029,東店,一般修理,TECH-03,4,3,41509,30318,完了
2024/01/04,ORD-0030,東店,一般修理,TECH-09,1,1,75855,967,再入庫
2024/01/04,ORD-0031,東店,タイヤ交換,TECH-07,4,8,33016,26282,作業中
2024/01/04,ORD-0032,東店,一般修理,TECH-01,4,5,64638,18694,完了
2024/01/04,ORD-0033,北店,一般修理,TECH-03,2,5,33534,3832,完了
2024/01/04,ORD-0034,北店,オイル交換,TECH-06,1,1,67493,32954,作業中
2024/01/05,ORD-0035,北店,タイヤ交換,TECH-01,5,2,29356,4490,完了
2024/01/05,ORD-0036,北店,タイヤ交換,TECH-07,1,4,10209,40591,完了
2024/01/05,ORD-0037,北店,車検,TECH-05,2,6,36285,17407,完了
2024/01/05,ORD-0038,北店,車検,TECH-08,3,2,6220,30034,完了
2024/01/05,ORD-0039,北店,オイル交換,TECH-02,5,4,71307,17380,完了
2024/01/05,ORD-0040,西店,オイル交換,TECH-04,3,5,25676,28716,作業中
2024/01/05,ORD-0041,北店,車検,TECH-10,5,1,77692,19620,作業中
2024/01/05,ORD-0042,東店,タイヤ交換,TECH-05,1,2,77512,10187,完了
2024/01/06,ORD-0043,北店,タイヤ交換,TECH-06,2,5,71244,32016,完了
