OrderDate,OrderID,ShopName,WorkType,TechID,EstimatedDays,ActualDays,LaborCost,PartsCost,Status
2024-01-01,ORD-0161,北店,車検,TECH-02,4,6,60435,47255,Completed
2024-01-01,ORD-0162,西店,車検,TECH-06,1,4,25280,43039,Completed
2024-01-01,ORD-0163,東店,車検,TECH-09,3,2,41512,37624,Completed
2024-01-01,ORD-0164,西店,オイル交換,TECH-10,3,1,28647,17909,Completed
2024-01-01,ORD-0165,西店,車検,TECH-06,1,3,23776,37114,Completed
2024-01-01,ORD-0166,東店,タイヤ交換,TECH-01,1,4,54308,27514,Completed
2024-01-01,ORD-0167,東店,車検,TECH-05,3,2,11895,10196,Completed
2024-01-01,ORD-0168,北店,オイル交換,TECH-02,3,8,60576,31828,Completed
2024-01-01,ORD-0169,西店,車検,TECH-04,5,2,50242,28174,Completed
2024-01-02,ORD-0170,北店,一般修理,TECH-09,3,1,33903,25903,Returned
2024-01-02,ORD-0171,東店,オイル交換,TECH-04,3,4,22987,16745,Completed
2024-01-02,ORD-0172,東店,オイル交換,TECH-08,4,3,21932,24917,Completed
2024-01-02,ORD-0173,東店,車検,TECH-02,4,1,62176,1228,Completed
2024-01-02,ORD-0174,東店,車検,TECH-10,4,7,59747,18973,Completed
2024-01-02,ORD-0175,東店,車検,TECH-03,5,8,52428,5775,Completed
2024-01-02,ORD-0176,東店,タイヤ交換,TECH-07,5,7,73676,5154,Completed
2024-01-02,ORD-0177,西店,車検,TECH-04,3,3,15011,33455,Completed
2024-01-03,ORD-0178,北店,タイヤ交換,TECH-06,3,3,35968,6737,Completed
2024-01-03,ORD-0179,東店,タイヤ交換,TECH-10,2,2,28218,41153,Completed
2024-01-03,ORD-0180,北店,一般修理,TECH-10,5,6,46436,9893,Completed
2024-01-03,ORD-0181,西店,一般修理,TECH-05,3,1,51129,33248,Completed
2024-01-03,ORD-0182,西店,一般修理,TECH-01,1,6,42627,5028,Completed
2024-01-03,ORD-0183,東店,一般修理,TECH-08,5,1,63947,37464,Completed
2024-01-03,ORD-0184,西店,一般修理,TECH-09,2,1,64050,6783,InProgress
2024-01-03,ORD-0185,西店,オイル交換,TECH-09,2,1,37472,46374,Completed
2024-01-03,ORD-0186,西店,タイヤ交換,TECH-06,3,5,55779,26789,Completed
2024-01-04,ORD-0187,北店,オイル交換,TECH-06,1,6,17387,36566,Completed
2024-01-04,ORD-0188,西店,車検,TECH-10,2,6,15682,38190,Completed
2024-01-04,ORD-0189,西店,車検,TECH-07,2,2,45577,36629,Completed
2024-01-04,ORD-0190,西店,タイヤ交換,TECH-09,1,7,71648,23712,Completed
2024-01-04,ORD-0191,西店,タイヤ交換,TECH-04,3,8,30166,14846,Returned
2024-01-04,ORD-0192,東店,オイル交換,TECH-05,1,1,49140,40503,Completed
2024-01-04,ORD-0193,西店,タイヤ交換,TECH-03,2,3,62366,2863,Completed
2024-01-04,ORD-0194,北店,タイヤ交換,TECH-08,5,5,63841,15335,Completed
2024-01-05,ORD-0195,西店,一般修理,TECH-04,3,8,65513,18466,Completed
2024-01-05,ORD-0196,北店,一般修理,TECH-03,2,3,37768,3419,Completed
2024-01-05,ORD-0197,西店,オイル交換,TECH-09,1,5,15993,10506,Completed
2024-01-05,ORD-0198,北店,タイヤ交換,TECH-07,1,4,64130,22910,InProgress
2024-01-05,ORD-0199,西店,オイル交換,TECH-07,5,6,35903,25307,Returned
2024-01-05,ORD-0200,西店,タイヤ交換,TECH-01,3,2,48947,9571,Completed
2024-01-05,ORD-0201,西店,一般修理,TECH-03,4,8,5688,5192,Completed
2024-01-05,ORD-0202,東店,タイヤ交換,TECH-09,5,7,19573,18881,Completed
2024-01-06,ORD-0203,東店,オイル交換,TECH-04,4,8,13232,7265,InProgress
2024-01-06,ORD-0204,西店,オイル交換,TECH-09,5,4,23818,19088,Completed
2024-01-06,ORD-0205,北店,車検,TECH-04,5,7,29551,43540,Completed
2024-01-06,ORD-0206,北店,車検,TECH-02,5,1,56177,30810,Completed
2024-01-06,ORD-0207,西店,車検,TECH-05,1,6,13855,22596,Completed
2024-01-06,ORD-0208,北店,オイル交換,TECH-10,3,3,10811,23088,Completed
2024-01-06,ORD-0209,北店,タイヤ交換,TECH-08,4,3,22675,4135,Completed
2024-01-06,ORD-0210,西店,オイル交換,TECH-05,2,1,31144,2746,Completed
2024-01-06,ORD-0211,西店,一般修理,TECH-09,4,5,9799,49367,Completed
2024-01-07,ORD-0212,西店,車検,TECH-01,3,5,21315,24118,Completed
2024-01-07,ORD-0213,西店,一般修理,TECH-07,3,3,70038,45355,Completed
2024-01-07,ORD-0214,北店,車検,TECH-02,4,2,61440,39482,Returned
2024-01-07,ORD-0215,東店,車検,TECH-06,1,2,47981,43314,Completed
2024-01-07,ORD-0216,西店,一般修理,TECH-03,4,6,63606,2775,Completed
2024-01-07,ORD-0217,西店,一般修理,TECH-05,1,2,58242,23809,Completed
2024-01-07,ORD-0218,北店,タイヤ交換,TECH-01,2,8,9561,8272,Completed
2024-01-07,ORD-0219,北店,車検,TECH-06,4,1,25111,44503,Completed
2024-01-08,ORD-0220,西店,車検,TECH-08,1,3,74397,24048,Completed
2024-01-08,ORD-0221,北店,車検,TECH-04,1,1,29385,32705,Completed
2024-01-08,ORD-0222,北店,オイル交換,TECH-05,3,8,33124,40099,Completed
2024-01-08,ORD-0223,西店,タイヤ交換,TECH-02,2,2,64250,11315,InProgress
2024-01-08,ORD-0224,西店,オイル交換,TECH-06,3,2,77089,35531,Completed
2024-01-08,ORD-0225,西店,タイヤ交換,TECH-03,3,4,20907,13171,Completed
2024-01-08,ORD-0226,東店,一般修理,TECH-01,3,6,66263,36152,Completed
2024-01-08,ORD-0227,東店,オイル交換,TECH-05,4,8,73903,26921,Completed
2024-01-09,ORD-0228,北店,オイル交換,TECH-03,3,2,63979,30528,Completed
2024-01-09,ORD-0229,西店,タイヤ交換,TECH-09,5,3,21912,28352,Completed
2024-01-09,ORD-0230,東店,オイル交換,TECH-09,2,5,26581,10614,Completed
2024-01-09,ORD-0231,北店,タイヤ交換,TECH-06,5,5,15336,16423,Completed
2024-01-09,ORD-0232,北店,車検,TECH-03,3,2,70873,42007,Completed
2024-01-09,ORD-0233,北店,タイヤ交換,TECH-03,5,6,78874,2699,InProgress
2024-01-09,ORD-0234,東店,オイル交換,TECH-01,5,5,32631,37495,Completed
2024-01-09,ORD-0235,北店,オイル交換,TECH-08,5,5,44596,31650,Completed
2024-01-09,ORD-0236,北店,一般修理,TECH-05,4,2,12852,10359,Completed
2024-01-10,ORD-0237,西店,一般修理,TECH-04,3,3,45970,47078,Completed
2024-01-10,ORD-0238,西店,一般修理,TECH-03,3,2,46827,15842,Completed
2024-01-10,ORD-0239,西店,一般修理,TECH-04,2,2,11632,19019,InProgress
2024-01-10,ORD-0240,北店,一般修理,TECH-04,2,6,45988,12440,Completed
2024-01-10,ORD-0241,西店,一般修理,TECH-08,3,8,8037,5901,InProgress
2024-01-10,ORD-0242,北店,一般修理,TECH-04,2,6,11377,3312,Completed
2024-01-10,ORD-0243,北店,一般修理,TECH-05,5,1,19089,28241,Completed
2024-01-10,ORD-0244,西店,車検,TECH-07,3,1,57505,3352,Completed
2024-01-11,ORD-0245,東店,車検,TECH-09,3,2,55639,33046,Completed
2024-01-11,ORD-0246,北店,車検,TECH-10,5,2,21864,6336,Completed
2024-01-11,ORD-0247,西店,車検,TECH-03,2,7,70546,2638,Completed
2024-01-11,ORD-0248,東店,車検,TECH-08,5,8,24521,39731,InProgress
2024-01-11,ORD-0249,東店,車検,TECH-10,3,3,56505,40402,Completed
2024-01-11,ORD-0250,西店,車検,TECH-09,5,8,78783,19647,Completed
2024-01-11,ORD-0251,東店,車検,TECH-06,1,7,45327,47534,InProgress
2024-01-11,ORD-0252,北店,オイル交換,TECH-10,4,5,34824,47277,Completed
2024-01-11,ORD-0253,西店,タイヤ交換,TECH-09,5,7,24369,44612,Completed
2024-01-12,ORD-0254,北店,オイル交換,TECH-04,1,8,46116,27445,Completed
2024-01-12,ORD-0255,北店,タイヤ交換,TECH-07,5,8,13163,46253,Completed
2024-01-12,ORD-0256,東店,車検,TECH-08,5,7,46124,11349,Completed
2024-01-12,ORD-0257,北店,車検,TECH-09,3,5,68462,12600,Returned
2024-01-12,ORD-0258,西店,車検,TECH-04,3,5,32168,45235,Completed
2024-01-12,ORD-0259,西店,一般修理,TECH-06,5,5,42721,7987,Completed
2024-01-12,ORD-0260,北店,一般修理,TECH-07,3,3,43070,2756,Completed
2024-01-12,ORD-0261,北店,オイル交換,TECH-06,4,5,67793,14023,Completed
2024-01-13,ORD-0262,北店,車検,TECH-09,3,3,19316,40349,Completed
2024-01-13,ORD-0263,東店,タイヤ交換,TECH-01,5,4,35518,3440,Completed
2024-01-13,ORD-0264,西店,一般修理,TECH-02,2,1,77135,10350,Completed
2024-01-13,ORD-0265,西店,一般修理,TECH-04,3,6,42409,42329,Completed
2024-01-13,ORD-0266,東店,タイヤ交換,TECH-09,1,3,59773,11520,InProgress
2024-01-13,ORD-0267,東店,一般修理,TECH-08,2,5,9910,607,Completed
2024-01-13,ORD-0268,北店,オイル交換,TECH-06,3,8,76211,34361,Completed
2024-01-13,ORD-0269,東店,一般修理,TECH-05,2,2,48343,10649,Completed
2024-01-14,ORD-0270,北店,車検,TECH-03,1,6,43669,37210,Completed
2024-01-14,ORD-0271,東店,タイヤ交換,TECH-10,4,7,72538,21491,Completed
2024-01-14,ORD-0272,北店,オイル交換,TECH-03,2,8,47415,16256,Completed
2024-01-14,ORD-0273,西店,タイヤ交換,TECH-08,3,6,44576,38172,Completed
2024-01-14,ORD-0274,東店,車検,TECH-06,2,1,20495,30500,Completed
2024-01-14,ORD-0275,西店,車検,TECH-02,3,6,33947,14360,Returned
2024-01-14,ORD-0276,西店,タイヤ交換,TECH-08,5,6,59505,46002,Completed
2024-01-14,ORD-0277,西店,タイヤ交換,TECH-04,5,2,73879,29278,Completed
2024-01-14,ORD-0278,西店,オイル交換,TECH-10,1,1,76781,33127,Completed
2024-01-15,ORD-0279,北店,タイヤ交換,TECH-03,3,8,20235,44583,Completed
2024-01-15,ORD-0280,北店,一般修理,TECH-02,5,8,12292,29716,Completed
2024-01-15,ORD-0281,西店,一般修理,TECH-10,1,8,45392,47400,Completed
2024-01-15,ORD-0282,西店,オイル交換,TECH-04,5,2,10936,27767,Completed
2024-01-15,ORD-0283,東店,オイル交換,TECH-02,4,1,42629,26795,Completed
2024-01-15,ORD-0284,東店,一般修理,TECH-06,4,8,54479,24618,Completed
2024-01-15,ORD-0285,北店,タイヤ交換,TECH-06,1,3,75419,25759,Completed
2024-01-15,ORD-0286,北店,タイヤ交換,TECH-01,1,5,65686,44138,Completed
2024-01-16,ORD-0287,西店,一般修理,TECH-04,2,8,50371,10166,Completed
2024-01-16,ORD-0288,北店,オイル交換,TECH-01,4,1,36544,13505,Completed
2024-01-16,ORD-0289,北店,オイル交換,TECH-08,5,1,37077,48532,Completed
2024-01-16,ORD-0290,西店,タイヤ交換,TECH-09,2,1,23367,33023,Returned
2024-01-16,ORD-0291,東店,車検,TECH-10,5,6,36051,19776,InProgress
2024-01-16,ORD-0292,北店,タイヤ交換,TECH-07,3,5,12989,36485,InProgress
2024-01-16,ORD-0293,北店,タイヤ交換,TECH-07,5,8,11145,22571,InProgress
2024-01-16,ORD-0294,北店,一般修理,TECH-09,3,7,58511,9779,Completed
2024-01-17,ORD-0295,東店,一般修理,TECH-04,2,5,23920,30344,InProgress
2024-01-17,ORD-0296,北店,一般修理,TECH-07,5,3,55910,15915,Completed
2024-01-17,ORD-0297,西店,オイル交換,TECH-08,3,2,75206,47486,InProgress
2024-01-17,ORD-0298,東店,車検,TECH-07,5,1,14539,12331,InProgress
2024-01-17,ORD-0299,北店,タイヤ交換,TECH-08,2,6,44739,1004,Completed
2024-01-17,ORD-0300,東店,オイル交換,TECH-08,2,4,56987,15684,Completed
2024-01-17,ORD-0301,西店,一般修理,TECH-08,5,6,45425,17141,Completed
2024-01-17,ORD-0302,西店,一般修理,TECH-02,4,6,31624,24294,Completed
2024-01-17,ORD-0303,東店,タイヤ交換,TECH-03,1,5,77523,38275,Completed
2024-01-18,ORD-0304,西店,車検,TECH-03,2,6,35149,24893,Completed
2024-01-18,ORD-0305,東店,一般修理,TECH-09,3,5,69044,47419,Completed
2024-01-18,ORD-0306,西店,一般修理,TECH-03,3,3,23344,47206,Completed
2024-01-18,ORD-0307,東店,オイル交換,TECH-09,1,2,11358,418,Completed
2024-01-18,ORD-0308,北店,タイヤ交換,TECH-02,2,1,33668,33143,Completed
2024-01-18,ORD-0309,東店,一般修理,TECH-08,1,1,74758,36152,Completed
2024-01-18,ORD-0310,東店,車検,TECH-09,3,1,70826,45734,Completed
2024-01-18,ORD-0311,東店,オイル交換,TECH-02,5,3,36584,12578,Completed
2024-01-19,ORD-0312,西店,車検,TECH-05,4,2,53896,26609,Completed
2024-01-19,ORD-0313,東店,タイヤ交換,TECH-05,1,1,17255,26560,Completed
2024-01-19,ORD-0314,北店,一般修理,TECH-01,1,3,15837,32758,InProgress
2024-01-19,ORD-0315,北店,車検,TECH-10,1,1,35115,13855,InProgress
2024-01-19,ORD-0316,北店,一般修理,TECH-05,1,2,41749,35588,Completed
2024-01-19,ORD-0317,東店,タイヤ交換,TECH-06,1,4,23899,49299,InProgress
2024-01-19,ORD-0318,西店,オイル交換,TECH-05,2,4,79277,25503,Completed
2024-01-19,ORD-0319,北店,車検,TECH-07,2,2,70639,48854,Returned
2024-01-20,ORD-0320,東店,オイル交換,TECH-07,2,2,49642,39660,Completed
