入庫日,作業番号,工場名,整備種別,技術者ID,見込み日数,完了日数,技術料,部品費,進捗
2024/01/01,ORD-0321,北店,一般修理,TECH-06,1,5,64054,32152,完了
2024/01/01,ORD-0322,北店,一般修理,TECH-07,2,7,16232,40541,完了
2024/01/01,ORD-0323,東店,オイル交換,TECH-02,3,3,54807,46640,完了
2024/01/01,ORD-0324,東店,一般修理,TECH-06,3,2,16995,340,作業中
2024/01/01,ORD-0325,西店,車検,TECH-05,1,3,16442,12280,完了
2024/01/01,ORD-0326,北店,一般修理,TECH-02,1,2,51388,36321,完了
2024/01/01,ORD-0327,北店,車検,TECH-07,1,5,59238,25414,完了
2024/01/01,ORD-0328,北店,タイヤ交換,TECH-10,5,3,54903,11108,完了
2024/01/01,ORD-0329,西店,車検,TECH-08,2,2,26916,28486,完了
2024/01/02,ORD-0330,西店,一般修理,TECH-02,3,5,37321,47244,完了
2024/01/02,ORD-0331,北店,タイヤ交換,TECH-08,1,3,44932,443,作業中
2024/01/02,ORD-0332,西店,一般修理,TECH-06,4,6,61441,42666,再入庫
2024/01/02,ORD-0333,東店,車検,TECH-06,5,4,67784,20590,完了
2024/01/02,ORD-0334,西店,車検,TECH-05,4,4,47714,24645,完了
2024/01/02,ORD-0335,西店,車検,TECH-02,5,4,76516,11791,完了
2024/01/02,ORD-0336,北店,オイル交換,TECH-08,2,8,43185,45405,完了
2024/01/02,ORD-0337,西店,一般修理,TECH-03,3,4,38119,43166,完了
2024/01/03,ORD-0338,西店,一般修理,TECH-02,4,8,57534,35020,完了
2024/01/03,ORD-0339,北店,一般修理,TECH-09,1,6,75373,38916,完了
2024/01/03,ORD-0340,東店,オイル交換,TECH-04,3,3,10806,36911,再入庫
2024/01/03,ORD-0341,北店,一般修理,TECH-06,4,2,6382,6462,完了
2024/01/03,ORD-0342,北店,タイヤ交換,TECH-08,3,7,65694,44535,完了
2024/01/03,ORD-0343,北店,タイヤ交換,TECH-06,1,8,18703,19361,完了
2024/01/03,ORD-0344,東店,オイル交換,TECH-03,3,5,49966,29840,完了
2024/01/03,ORD-0345,北店,一般修理,TECH-06,4,2,62431,47316,完了
2024/01/03,ORD-0346,西店,オイル交換,TECH-05,1,2,7960,22483,完了
2024/01/04,ORD-0347,北店,タイヤ交換,TECH-04,5,3,77339,10494,完了
2024/01/04,ORD-0348,西店,一般修理,TECH-04,4,3,29430,41974,完了
2024/01/04,ORD-0349,西店,オイル交換,TECH-10,2,8,61302,25482,完了
2024/01/04,ORD-0350,東店,タイヤ交換,TECH-05,1,2,75371,12252,完了
2024/01/04,ORD-0351,東店,一般修理,TECH-02,3,8,74168,41884,完了
2024/01/04,ORD-0352,西店,一般修理,TECH-10,1,6,51135,30006,完了
2024/01/04,ORD-0353,北店,車検,TECH-10,5,2,22556,20524,完了
2024/01/04,ORD-0354,西店,オイル交換,TECH-03,3,3,71954,25458,完了
2024/01/05,ORD-0355,東店,一般修理,TECH-07,2,8,75435,45444,作業中
2024/01/05,ORD-0356,東店,タイヤ交換,TECH-08,3,3,29523,20616,作業中
2024/01/05,ORD-0357,北店,オイル交換,TECH-06,1,8,22895,12787,作業中
2024/01/05,ORD-0358,北店,一般修理,TECH-07,4,7,63176,32027,完了
2024/01/05,ORD-0359,北店,オイル交換,TECH-04,3,1,41025,14735,完了
2024/01/05,ORD-0360,東店,一般修理,TECH-10,4,2,19969,17556,完了
2024/01/05,ORD-0361,西店,オイル交換,TECH-08,5,4,60725,6711,完了
2024/01/05,ORD-0362,北店,タイヤ交換,TECH-05,1,8,39447,22844,作業中
2024/01/06,ORD-0363,東店,一般修理,TECH-02,2,4,50957,46579,完了
2024/01/06,ORD-0364,西店,タイヤ交換,TECH-10,2,4,32124,3890,完了
2024/01/06,ORD-0365,北店,車検,TECH-10,5,3,47421,46140,完了
2024/01/06,ORD-0366,北店,車検,TECH-09,1,3,58948,3885,再入庫
2024/01/06,ORD-0367,北店,タイヤ交換,TECH-03,2,3,47217,16223,完了
2024/01/06,ORD-0368,北店,一般修理,TECH-08,2,5,59293,24587,完了
2024/01/06,ORD-0369,北店,オイル交換,TECH-07,5,5,53374,29798,再入庫
