order_date,order_id,shop_name,work_type,tech_id,estimated_days,actual_days,labor_cost,parts_cost,status,total_cost,delay_days,is_delayed,is_returned,efficiency_flag,source_file
2024-01-01,ORD-0001,北店,オイル交換,TECH-01,3,4,34256,9144,完了,43400,1,1,0,遅延,orders_styleA.csv
2024-01-01,ORD-0002,北店,オイル交換,TECH-10,4,1,8905,6140,完了,15045,-3,0,0,効率的,orders_styleA.csv
2024-01-01,ORD-0003,北店,オイル交換,TECH-09,2,7,33893,29439,完了,63332,5,1,0,遅延,orders_styleA.csv
2024-01-01,ORD-0004,東店,タイヤ交換,TECH-07,3,5,25379,14110,再入庫,39489,2,1,1,遅延,orders_styleA.csv
2024-01-01,ORD-0005,西店,オイル交換,TECH-02,4,2,52052,22541,完了,74593,-2,0,0,効率的,orders_styleA.csv
2024-01-01,ORD-0006,東店,一般修理,TECH-09,1,7,15328,36178,完了,51506,6,1,0,遅延,orders_styleA.csv
2024-01-01,ORD-0007,北店,車検,TECH-10,2,2,11006,43336,完了,54342,0,0,0,効率的,orders_styleA.csv
2024-01-01,ORD-0008,西店,オイル交換,TECH-04,1,7,41434,29714,完了,71148,6,1,0,遅延,orders_styleA.csv
2024-01-01,ORD-0009,西店,タイヤ交換,TECH-06,3,4,39993,45994,作業中,85987,1,1,0,遅延,orders_styleA.csv
2024-01-02,ORD-0010,北店,オイル交換,TECH-10,2,4,26417,30294,完了,56711,2,1,0,遅延,orders_styleA.csv
2024-01-02,ORD-0011,北店,タイヤ交換,TECH-06,1,4,9207,20673,完了,29880,3,1,0,遅延,orders_styleA.csv
2024-01-02,ORD-0012,東店,タイヤ交換,TECH-10,3,4,70435,25928,作業中,96363,1,1,0,遅延,orders_styleA.csv
2024-01-02,ORD-0013,北店,一般修理,TECH-03,3,3,37325,48823,完了,86148,0,0,0,効率的,orders_styleA.csv
2024-01-02,ORD-0014,西店,一般修理,TECH-10,4,6,33746,9065,完了,42811,2,1,0,遅延,orders_styleA.csv
2024-01-02,ORD-0015,東店,オイル交換,TECH-02,2,3,60333,39086,完了,99419,1,1,0,遅延,orders_styleA.csv
2024-01-02,ORD-0016,西店,一般修理,TECH-09,3,1,20014,44676,作業中,64690,-2,0,0,効率的,orders_styleA.csv
2024-01-02,ORD-0017,西店,車検,TECH-02,3,7,25730,29735,完了,55465,4,1,0,遅延,orders_styleA.csv
2024-01-03,ORD-0018,北店,車検,TECH-09,2,2,44117,41874,完了,85991,0,0,0,効率的,orders_styleA.csv
2024-01-03,ORD-0019,東店,タイヤ交換,TECH-06,2,1,47487,32021,完了,79508,-1,0,0,効率的,orders_styleA.csv
2024-01-03,ORD-0020,西店,車検,TECH-04,1,4,79364,5161,完了,84525,3,1,0,遅延,orders_styleA.csv
2024-01-03,ORD-0021,西店,オイル交換,TECH-09,2,3,67296,36031,完了,103327,1,1,0,遅延,orders_styleA.csv
2024-01-03,ORD-0022,北店,一般修理,TECH-04,5,4,45857,26148,再入庫,72005,-1,0,1,効率的,orders_styleA.csv
2024-01-03,ORD-0023,北店,車検,TECH-08,5,8,20860,16246,完了,37106,3,1,0,遅延,orders_styleA.csv
2024-01-03,ORD-0024,西店,オイル交換,TECH-10,5,4,33864,471,完了,34335,-1,0,0,効率的,orders_styleA.csv
2024-01-03,ORD-0025,北店,オイル交換,TECH-04,1,1,48309,4643,完了,52952,0,0,0,効率的,orders_styleA.csv
2024-01-03,ORD-0026,西店,一般修理,TECH-04,5,3,79847,37762,完了,117609,-2,0,0,効率的,orders_styleA.csv
2024-01-04,ORD-0027,西店,一般修理,TECH-04,1,2,61498,23219,完了,84717,1,1,0,遅延,orders_styleA.csv
2024-01-04,ORD-0028,西店,オイル交換,TECH-02,1,7,49473,7161,完了,56634,6,1,0,遅延,orders_styleA.csv
2024-01-04,ORD-0029,東店,一般修理,TECH-03,4,3,41509,30318,完了,71827,-1,0,0,効率的,orders_styleA.csv
2024-01-04,ORD-0030,東店,一般修理,TECH-09,1,1,75855,967,再入庫,76822,0,0,1,効率的,orders_styleA.csv
2024-01-04,ORD-0031,東店,タイヤ交換,TECH-07,4,8,33016,26282,作業中,59298,4,1,0,遅延,orders_styleA.csv
2024-01-04,ORD-0032,東店,一般修理,TECH-01,4,5,64638,18694,完了,83332,1,1,0,遅延,orders_styleA.csv
2024-01-04,ORD-0033,北店,一般修理,TECH-03,2,5,33534,3832,完了,37366,3,1,0,遅延,orders_styleA.csv
2024-01-04,ORD-0034,北店,オイル交換,TECH-06,1,1,67493,32954,作業中,100447,0,0,0,効率的,orders_styleA.csv
2024-01-05,ORD-0035,北店,タイヤ交換,TECH-01,5,2,29356,4490,完了,33846,-3,0,0,効率的,orders_styleA.csv
2024-01-05,ORD-0036,北店,タイヤ交換,TECH-07,1,4,10209,40591,完了,50800,3,1,0,遅延,orders_styleA.csv
2024-01-05,ORD-0037,北店,車検,TECH-05,2,6,36285,17407,完了,53692,4,1,0,遅延,orders_styleA.csv
2024-01-05,ORD-0038,北店,車検,TECH-08,3,2,6220,30034,完了,36254,-1,0,0,効率的,orders_styleA.csv
2024-01-05,ORD-0039,北店,オイル交換,TECH-02,5,4,71307,17380,完了,88687,-1,0,0,効率的,orders_styleA.csv
2024-01-05,ORD-0040,西店,オイル交換,TECH-04,3,5,25676,28716,作業中,54392,2,1,0,遅延,orders_styleA.csv
2024-01-05,ORD-0041,北店,車検,TECH-10,5,1,77692,19620,作業中,97312,-4,0,0,効率的,orders_styleA.csv
2024-01-05,ORD-0042,東店,タイヤ交換,TECH-05,1,2,77512,10187,完了,87699,1,1,0,遅延,orders_styleA.csv
2024-01-06,ORD-0043,北店,タイヤ交換,TECH-06,2,5,71244,32016,完了,103260,3,1,0,遅延,orders_styleA.csv
2024-01-06,ORD-0044,東店,オイル交換,TECH-07,3,1,5464,21859,完了,27323,-2,0,0,効率的,orders_styleA.csv
2024-01-06,ORD-0045,北店,車検,TECH-03,4,7,78519,633,完了,79152,3,1,0,遅延,orders_styleA.csv
2024-01-06,ORD-0046,北店,タイヤ交換,TECH-09,1,6,77420,9705,完了,87125,5,1,0,遅延,orders_styleA.csv
2024-01-06,ORD-0047,東店,車検,TECH-06,1,6,32535,44699,完了,77234,5,1,0,遅延,orders_styleA.csv
2024-01-06,ORD-0048,東店,車検,TECH-09,4,3,36029,10649,再入庫,46678,-1,0,1,効率的,orders_styleA.csv
2024-01-06,ORD-0049,東店,一般修理,TECH-01,2,6,58964,43903,作業中,102867,4,1,0,遅延,orders_styleA.csv
2024-01-06,ORD-0050,東店,車検,TECH-03,1,7,10075,30847,完了,40922,6,1,0,遅延,orders_styleA.csv
2024-01-06,ORD-0051,西店,車検,TECH-05,2,4,8101,43255,完了,51356,2,1,0,遅延,orders_styleA.csv
2024-01-07,ORD-0052,西店,車検,TECH-02,3,6,71768,26193,完了,97961,3,1,0,遅延,orders_styleA.csv
2024-01-07,ORD-0053,北店,車検,TECH-01,1,5,28405,38049,再入庫,66454,4,1,1,遅延,orders_styleA.csv
2024-01-07,ORD-0054,西店,オイル交換,TECH-02,5,7,50309,47745,完了,98054,2,1,0,遅延,orders_styleA.csv
2024-01-07,ORD-0055,西店,オイル交換,TECH-07,5,4,38386,2908,完了,41294,-1,0,0,効率的,orders_styleA.csv
2024-01-07,ORD-0056,東店,タイヤ交換,TECH-06,4,2,48279,40839,完了,89118,-2,0,0,効率的,orders_styleA.csv
2024-01-07,ORD-0057,東店,車検,TECH-09,3,7,47753,26371,完了,74124,4,1,0,遅延,orders_styleA.csv
2024-01-07,ORD-0058,北店,タイヤ交換,TECH-04,4,7,27810,40338,完了,68148,3,1,0,遅延,orders_styleA.csv
2024-01-07,ORD-0059,西店,オイル交換,TECH-05,3,4,61346,38009,完了,99355,1,1,0,遅延,orders_styleA.csv
2024-01-08,ORD-0060,西店,一般修理,TECH-08,4,4,72000,31010,完了,103010,0,0,0,効率的,orders_styleA.csv
2024-01-08,ORD-0061,北店,タイヤ交換,TECH-02,3,6,17240,49226,完了,66466,3,1,0,遅延,orders_styleA.csv
