month,crop,field_area_ha,yield_kg,grade_a_rate,grade_b_rate,grade_c_rate,avg_brix,moisture_pct
2024-01,トマト,1.5,4200,78.0,15.0,7.0,9.5,88.2
2024-01,キャベツ,2.0,6800,72.0,20.0,8.0,5.2,92.1
2024-01,ほうれん草,1.0,2100,81.0,12.0,7.0,7.8,90.5
2024-01,じゃがいも,3.0,8500,68.0,22.0,10.0,3.2,82.3
2024-02,トマト,1.5,4500,80.0,14.0,6.0,9.8,87.9
2024-02,キャベツ,2.0,7000,74.0,18.0,8.0,5.4,91.8
2024-02,ほうれん草,1.0,2200,82.0,11.0,7.0,7.9,90.2
2024-02,じゃがいも,3.0,8700,70.0,20.0,10.0,3.3,81.9
2024-03,トマト,1.5,4100,76.0,16.0,8.0,9.2,88.5
2024-03,キャベツ,2.0,6600,71.0,21.0,8.0,5.1,92.4
2024-03,ほうれん草,1.0,2000,80.0,13.0,7.0,7.6,90.8
2024-03,じゃがいも,3.0,8300,67.0,23.0,10.0,3.1,82.6
2024-04,トマト,1.5,4400,79.0,15.0,6.0,9.6,88.1
2024-04,キャベツ,2.0,6900,73.0,19.0,8.0,5.3,92.0
2024-04,ほうれん草,1.0,2150,81.0,12.0,7.0,7.8,90.4
2024-04,じゃがいも,3.0,8600,69.0,21.0,10.0,3.2,82.2
2024-05,トマト,1.5,4600,81.0,13.0,6.0,10.0,87.6
2024-05,キャベツ,2.0,7200,75.0,17.0,8.0,5.5,91.6
2024-05,ほうれん草,1.0,2300,83.0,10.0,7.0,8.1,89.9
2024-05,じゃがいも,3.0,8900,71.0,19.0,10.0,3.4,81.5
2024-06,トマト,1.5,4300,77.0,16.0,7.0,9.4,88.3
2024-06,キャベツ,2.0,6700,72.0,20.0,8.0,5.2,92.2
2024-06,ほうれん草,1.0,2050,79.0,14.0,7.0,7.5,91.1
2024-06,じゃがいも,3.0,8400,68.0,22.0,10.0,3.1,82.4
2024-07,トマト,1.5,4700,82.0,12.0,6.0,10.1,87.4
2024-07,キャベツ,2.0,7300,76.0,16.0,8.0,5.6,91.3
2024-07,ほうれん草,1.0,2400,84.0,9.0,7.0,8.2,89.7
2024-07,じゃがいも,3.0,9000,72.0,18.0,10.0,3.5,81.2
2024-08,トマト,1.5,4800,83.0,11.0,6.0,10.2,87.2
2024-08,キャベツ,2.0,7400,77.0,15.0,8.0,5.7,91.1
2024-08,ほうれん草,1.0,2500,85.0,8.0,7.0,8.3,89.5
2024-08,じゃがいも,3.0,9100,73.0,17.0,10.0,3.6,81.0
2024-09,トマト,1.5,4500,81.0,13.0,6.0,10.0,87.5
2024-09,キャベツ,2.0,7100,75.0,17.0,8.0,5.5,91.5
2024-09,ほうれん草,1.0,2250,82.0,11.0,7.0,8.0,90.0
2024-09,じゃがいも,3.0,8800,71.0,19.0,10.0,3.4,81.8
2024-10,トマト,1.5,4200,78.0,15.0,7.0,9.5,88.2
2024-10,キャベツ,2.0,6800,72.0,20.0,8.0,5.2,92.1
2024-10,ほうれん草,1.0,2100,81.0,12.0,7.0,7.8,90.5
2024-10,じゃがいも,3.0,8500,68.0,22.0,10.0,3.2,82.3
2024-11,トマト,1.5,4000,75.0,17.0,8.0,9.1,88.6
2024-11,キャベツ,2.0,6500,70.0,21.0,9.0,5.0,92.5
2024-11,ほうれん草,1.0,1950,79.0,14.0,7.0,7.4,91.2
2024-11,じゃがいも,3.0,8200,66.0,24.0,10.0,3.0,82.7
2024-12,トマト,1.5,3800,73.0,19.0,8.0,8.8,88.9
2024-12,キャベツ,2.0,6300,68.0,23.0,9.0,4.9,92.8
2024-12,ほうれん草,1.0,1850,77.0,16.0,7.0,7.2,91.4
2024-12,じゃがいも,3.0,8000,64.0,26.0,10.0,2.9,83.0
