month,crop,channel,quantity_kg,unit_price,revenue,grade
2024-01,トマト,直販,150,350,52500,A品
2024-01,トマト,市場出荷,400,280,112000,A品
2024-01,トマト,スーパー契約,300,300,90000,A品
2024-01,トマト,JA出荷,200,220,44000,B品
2024-01,キャベツ,直販,80,120,9600,A品
2024-01,キャベツ,市場出荷,600,90,54000,A品
2024-01,キャベツ,スーパー契約,250,110,27500,A品
2024-01,キャベツ,JA出荷,400,75,30000,B品
2024-02,トマト,直販,180,360,64800,A品
2024-02,トマト,市場出荷,420,290,121800,A品
2024-02,トマト,スーパー契約,280,310,86800,A品
2024-02,トマト,JA出荷,220,230,50600,B品
2024-02,ほうれん草,直販,200,280,56000,A品
2024-02,ほうれん草,市場出荷,500,180,90000,A品
2024-02,ほうれん草,スーパー契約,300,220,66000,A品
2024-02,ほうれん草,JA出荷,400,140,56000,B品
2024-03,じゃがいも,直販,120,200,24000,A品
2024-03,じゃがいも,市場出荷,800,150,120000,A品
2024-03,じゃがいも,スーパー契約,400,170,68000,A品
2024-03,じゃがいも,JA出荷,600,120,72000,B品
2024-04,トマト,直販,200,370,74000,A品
2024-04,トマト,市場出荷,450,295,132750,A品
2024-04,トマト,スーパー契約,320,315,100800,A品
2024-04,トマト,JA出荷,240,240,57600,B品
2024-05,キャベツ,直販,100,125,12500,A品
2024-05,キャベツ,市場出荷,650,95,61750,A品
2024-05,キャベツ,スーパー契約,280,115,32200,A品
2024-05,キャベツ,JA出荷,420,80,33600,B品
2024-06,ほうれん草,直販,220,285,62700,A品
2024-06,ほうれん草,市場出荷,520,185,96200,A品
2024-06,ほうれん草,スーパー契約,310,225,69750,A品
2024-06,ほうれん草,JA出荷,420,145,60900,B品
2024-07,じゃがいも,直販,140,210,29400,A品
2024-07,じゃがいも,市場出荷,850,155,131750,A品
2024-07,じゃがいも,スーパー契約,420,175,73500,A品
2024-07,じゃがいも,JA出荷,640,125,80000,B品
2024-08,トマト,直販,160,340,54400,A品
2024-08,トマト,市場出荷,380,275,104500,A品
2024-08,トマト,スーパー契約,270,290,78300,A品
2024-08,トマト,JA出荷,200,210,42000,C品
2024-09,キャベツ,直販,90,130,11700,A品
2024-09,キャベツ,市場出荷,620,100,62000,A品
2024-09,キャベツ,スーパー契約,260,120,31200,A品
2024-09,キャベツ,JA出荷,380,85,32300,B品
2024-10,ほうれん草,直販,210,275,57750,A品
2024-10,ほうれん草,市場出荷,490,175,85750,A品
2024-10,ほうれん草,スーパー契約,290,215,62350,A品
2024-10,ほうれん草,JA出荷,400,135,54000,C品
