part_id,part_name,category,current_stock,min_stock,unit_cost,supplier
PR001,エンジンオイル5L,オイル類,25,10,3500,仕入先A
PR002,ブレーキパッド前後,消耗品,8,10,12000,仕入先B
PR003,エアフィルター,消耗品,22,5,2500,仕入先A
PR004,スパークプラグ,電装品,18,8,1500,仕入先C
PR005,バッテリー75D,電装品,5,5,18000,仕入先B
PR006,ラジエターリキッド,オイル類,15,10,2000,仕入先A
PR007,トランスミッションオイル,オイル類,12,8,4500,仕入先C
PR008,ウォッシャー液,消耗品,30,5,800,仕入先A
PR009,ワイパーブレード,消耗品,20,8,2800,仕入先B
PR010,タイヤ155/65R14,タイヤ類,6,5,12000,仕入先C
PR011,タイヤ185/65R15,タイヤ類,3,5,15000,仕入先B
PR012,フューエルフィルター,消耗品,10,5,3200,仕入先A
PR013,キャビンエアフィルター,消耗品,14,6,2200,仕入先C
PR014,トルコンフルード,オイル類,8,8,5500,仕入れ先B
PR015,アースノックセンサー,電装品,2,3,8500,仕入先A
PR016,アルタネーター,電装品,1,2,25000,仕入先C
PR017,スターターモーター,電装品,0,2,22000,仕入先B
PR018,クーラント濃縮液,オイル類,11,8,1800,仕入先A
PR019,ドライブベルト,消耗品,5,4,6000,仕入先C
PR020,エキゾーストマニフォルドガスケット,消耗品,2,3,5500,仕入先B
