month,room_type,total_rooms,sold_rooms,adr,revenue
2024-01,シングル,30,22,8000,176000
2024-01,ダブル,20,14,18000,252000
2024-01,ツイン,25,19,15000,285000
2024-01,スイート,5,3,50000,150000
2024-02,シングル,30,24,8200,196800
2024-02,ダブル,20,15,18500,277500
2024-02,ツイン,25,20,15200,304000
2024-02,スイート,5,4,52000,208000
2024-03,シングル,30,26,8500,221000
2024-03,ダブル,20,16,19000,304000
2024-03,ツイン,25,21,15500,325500
2024-03,スイート,5,4,54000,216000
2024-04,シングル,30,25,8300,207500
2024-04,ダブル,20,15,18800,282000
2024-04,ツイン,25,20,15200,304000
2024-04,スイート,5,3,51000,153000
2024-05,シングル,30,27,8600,232200
2024-05,ダブル,20,17,19200,326400
2024-05,ツイン,25,22,15800,347600
2024-05,スイート,5,4,55000,220000
2024-06,シングル,30,29,9000,261000
2024-06,ダブル,20,18,20000,360000
2024-06,ツイン,25,24,16500,396000
2024-06,スイート,5,5,60000,300000
2024-07,シングル,30,30,9200,276000
2024-07,ダブル,20,20,21000,420000
2024-07,ツイン,25,25,17000,425000
2024-07,スイート,5,5,62000,310000
2024-08,シングル,30,28,9100,254800
2024-08,ダブル,20,19,20500,389500
2024-08,ツイン,25,23,16800,386400
2024-08,スイート,5,5,61000,305000
2024-09,シングル,30,26,8800,228800
2024-09,ダブル,20,16,19500,312000
2024-09,ツイン,25,21,16000,336000
2024-09,スイート,5,4,57000,228000
2024-10,シングル,30,24,8400,201600
2024-10,ダブル,20,14,18200,254800
2024-10,ツイン,25,19,15600,296400
2024-10,スイート,5,3,52000,156000
2024-11,シングル,30,23,8100,186300
2024-11,ダブル,20,13,17800,231400
2024-11,ツイン,25,18,15200,273600
2024-11,スイート,5,2,50000,100000
2024-12,シングル,30,25,8700,217500
2024-12,ダブル,20,15,19200,288000
2024-12,ツイン,25,20,16000,320000
2024-12,スイート,5,4,58000,232000
