stay_date,guest_id,room_type,nights,total_spend,overall_score,room_score,food_score,service_score,is_repeat,channel
2024-06-19,G001,ダブル,1,15000,2.1,3.8,4.3,4.6,True,法人
2024-06-07,G002,ダブル,2,20430,2.3,3.0,4.8,1.3,False,旅行代理店
2024-03-05,G003,ツイン,1,17651,3.3,3.9,3.5,4.7,True,法人
2024-05-16,G004,スイート,3,73916,1.7,3.3,3.5,3.1,True,OTA
2024-06-24,G005,ダブル,1,16012,2.2,4.0,3.1,2.9,False,旅行代理店
2024-05-02,G006,ダブル,2,25429,2.9,1.3,1.0,1.5,False,法人
2024-02-21,G007,シングル,2,15000,4.4,4.1,1.9,3.5,False,OTA
2024-01-05,G008,ダブル,4,49547,1.3,1.7,3.5,3.7,True,OTA
2024-05-08,G009,スイート,4,96256,1.2,3.5,4.2,1.4,False,法人
2024-02-16,G010,シングル,2,19799,2.5,1.8,4.5,1.1,True,直接予約
2024-03-02,G011,ダブル,4,45020,2.4,4.3,3.5,2.4,False,OTA
2024-02-06,G012,シングル,5,35424,2.5,2.0,1.8,2.4,False,旅行代理店
2024-03-13,G013,ダブル,2,23727,1.7,4.6,4.5,1.9,False,旅行代理店
2024-01-11,G014,スイート,4,100645,1.6,4.7,4.0,4.3,False,法人
2024-04-28,G015,ツイン,2,29450,2.6,1.3,2.2,4.1,False,法人
2024-03-19,G016,ダブル,1,15000,4.3,1.7,2.1,3.3,False,法人
2024-06-09,G017,シングル,1,15000,1.1,3.9,1.5,2.1,False,直接予約
2024-05-29,G018,シングル,2,15000,2.0,2.4,1.5,2.3,False,直接予約
2024-03-25,G019,シングル,4,31515,4.3,3.9,3.8,4.7,False,OTA
2024-06-05,G020,ツイン,4,57989,3.8,4.4,3.8,3.0,False,旅行代理店
2024-02-26,G021,スイート,1,25054,3.0,1.4,3.2,3.5,False,OTA
2024-06-10,G022,ダブル,3,32669,3.2,3.4,4.4,3.3,False,旅行代理店
2024-06-30,G023,スイート,3,76098,4.9,2.7,2.5,4.1,False,直接予約
2024-03-21,G024,スイート,3,70158,3.5,3.7,4.9,3.4,False,直接予約
2024-06-01,G025,シングル,3,28186,2.8,1.9,1.7,3.8,False,旅行代理店
2024-03-11,G026,ツイン,2,29018,3.8,1.4,2.1,2.3,False,直接予約
2024-03-16,G027,シングル,4,31491,3.4,3.1,3.9,3.9,False,直接予約
2024-04-19,G028,シングル,5,35779,4.2,2.6,3.1,2.1,True,直接予約
2024-03-03,G029,シングル,4,35062,3.8,4.9,1.5,4.7,True,旅行代理店
2024-05-26,G030,シングル,5,44619,3.1,4.4,4.0,1.1,False,直接予約
2024-03-24,G031,ダブル,4,45259,1.9,2.2,4.5,1.4,False,直接予約
2024-04-12,G032,シングル,5,37376,2.8,4.9,2.7,2.7,False,法人
2024-04-07,G033,シングル,4,30031,3.8,4.1,3.7,3.6,False,OTA
2024-06-18,G034,シングル,2,16073,1.1,3.6,4.5,1.1,False,OTA
2024-01-18,G035,スイート,2,48314,3.3,1.3,5.0,4.1,False,法人
2024-05-19,G036,シングル,1,15000,2.0,3.3,4.8,1.2,False,直接予約
2024-03-31,G037,ツイン,5,66675,2.8,4.2,3.7,4.8,True,直接予約
2024-04-05,G038,シングル,3,23740,4.2,3.8,3.3,3.8,False,旅行代理店
2024-06-19,G039,スイート,2,53641,2.3,4.8,3.3,1.0,True,直接予約
2024-01-13,G040,ツイン,2,24461,4.4,2.3,4.1,4.4,False,直接予約
2024-04-04,G041,スイート,5,120948,2.5,2.7,1.8,4.6,False,旅行代理店
2024-01-26,G042,スイート,5,120531,2.9,1.8,2.1,3.8,False,旅行代理店
2024-02-29,G043,ダブル,2,25862,3.5,3.9,1.6,2.7,True,直接予約
2024-05-18,G044,シングル,4,29066,2.8,2.0,3.3,2.7,True,OTA
2024-05-17,G045,スイート,5,124048,3.1,3.5,3.6,3.3,False,OTA
2024-02-20,G046,ツイン,2,24408,1.6,3.3,4.4,4.4,True,OTA
2024-02-12,G047,ツイン,3,43339,4.0,2.0,1.2,1.9,False,直接予約
2024-01-18,G048,ツイン,3,41464,4.0,4.8,3.8,4.9,False,法人
2024-05-05,G049,ダブル,3,32115,1.5,4.8,3.0,1.4,False,法人
2024-06-12,G050,ダブル,2,22238,4.6,1.6,1.4,1.2,False,法人
